"time","value"
1947,244.142
1947.25,247.063
1947.5,250.716
1947.75,260.981
1948,267.133
1948.25,274.046
1948.5,280.679
1948.75,281.837
1949,276.42
1949.25,272.68
1949.5,274.162
1949.75,271.76
1950,282.056
1950.25,291.699
1950.5,309.76
1950.75,321.554
1951,337.537
1951.25,345.973
1951.5,353.381
1951.75,358.33
1952,361.821
1952.25,363.049
1952.5,369.683
1952.75,382.751
1953,389.888
1953.25,393.801
1953.5,392.98
1953.75,387.798
1954,387.345
1954.25,388.119
1954.5,393.034
1954.75,402.077
1955,415.496
1955.25,423.93
1955.5,432.668
1955.75,439.619
1956,442.597
1956.25,448.848
1956.5,454.125
1956.75,463.023
1957,472.864
1957.25,475.392
1957.5,482.723
1957.75,477.398
1958,470.17
1958.25,474.672
1958.5,488.446
1958.75,502.14
1959,512.913
1959.25,525.253
1959.5,527.864
1959.75,531.63
1960,545.575
1960.25,544.084
1960.5,548.768
1960.75,543.553
1961,548.594
1961.25,558.945
1961.5,571.166
1961.75,584.209
1962,597.614
1962.25,604.358
1962.5,613.078
1962.75,617.01
1963,626.179
1963.25,634.089
1963.5,648.882
1963.75,658.563
1964,674.88
1964.25,683.549
1964.5,697.079
1964.75,702.017
1965,723.225
1965.25,735.832
1965.5,754.576
1965.75,776.644
1966,800.732
1966.25,810.033
1966.5,824.605
1966.75,838.565
1967,849.391
1967.25,854.063
1967.5,870.922
1967.75,887.023
1968,915.204
1968.25,940.344
1968.5,957.077
1968.75,974.301
1969,999.671
1969.25,1015.181
1969.5,1035.904
1969.75,1044.164
1970,1057.487
1970.25,1074.012
1970.5,1092.643
1970.75,1094.672
1971,1142.57
1971.25,1164.246
1971.5,1184.935
1971.75,1198.025
1972,1238.784
1972.25,1274.485
1972.5,1299.485
1972.75,1337.927
1973,1388.16
1973.25,1425.513
1973.5,1447.715
1973.75,1490.591
1974,1508.276
1974.25,1546.453
1974.5,1575.303
1974.75,1613.018
1975,1627.512
1975.25,1663.509
1975.5,1722.818
1975.75,1777.797
1976,1836.233
1976.25,1868.977
1976.5,1903.677
1976.75,1952.15
1977,2009.413
1977.25,2076.658
1977.5,2139.358
1977.75,2183.039
1978,2224.853
1978.25,2350.382
1978.5,2415.943
1978.75,2501.54
1979,2552.29
1979.25,2620.698
1979.5,2703.659
1979.75,2760.381
1980,2827.831
1980.25,2833.163
1980.5,2890.897
1980.75,3014.083
1981,3155.609
1981.25,3192.545
1981.5,3293.303
1981.75,3318.447
1982,3310.294
1982.25,3372.9
1982.5,3401.349
1982.75,3436.654
1983,3507.464
1983.25,3615.589
1983.5,3727.046
1983.75,3834.386
1984,3945.094
1984.25,4047.14
1984.5,4121.606
1984.75,4181.775
1985,4255.859
1985.25,4322.557
1985.5,4409.267
1985.75,4469.698
1986,4530.053
1986.25,4560.834
1986.5,4625.847
1986.75,4669.623
1987,4736.524
1987.25,4824.292
1987.5,4902.321
1987.75,5027.678
1988,5098.36
1988.25,5212.852
1988.5,5302.996
1988.75,5422.172
1989,5533.649
1989.25,5634.129
1989.5,5719.661
1989.75,5778.036
1990,5902.22
1990.25,5991.651
1990.5,6042.253
1990.75,6055.22
1991,6074.636
1991.25,6155.42
1991.5,6231.047
1991.75,6297.761
1992,6395.836
1992.25,6502.819
1992.5,6595.851
1992.75,6711.112
1993,6766.665
1993.25,6839.59
1993.5,6918.254
1993.75,7034.356
1994,7143.011
1994.25,7269.779
1994.5,7352.37
1994.75,7475.65
1995,7552.116
1995.25,7613.638
1995.5,7701.977
1995.75,7803.073
1996,7905.735
1996.25,8061.846
1996.5,8157.22
1996.75,8291.163
1997,8385.773
1997.25,8549.503
1997.5,8685.903
1997.75,8782.231
1998,8891.834
1998.25,8992.195
1998.5,9130.667
1998.75,9306.215
1999,9437.614
1999.25,9557.13
1999.5,9715.248
1999.75,9938.31
2000,10035.263
2000.25,10283.391
2000.5,10348.645
2000.75,10490.43
2001,10510.297
2001.25,10647.427
2001.5,10623.039
2001.75,10748.408
2002,10833.143
2002.25,10918.384
2002.5,11027.515
2002.75,11120.565
2003,11217.689
2003.25,11369.131
2003.5,11621.172
2003.75,11851.792
2004,12021.455
2004.25,12185.61
2004.5,12386.919
2004.75,12581.653
2005,12854.364
2005.25,12996.998
2005.5,13225.668
2005.75,13378.959
2006,13654.952
2006.25,13802.877
2006.5,13906.646
2006.75,14083.697
2007,14258.594
2007.25,14463.277
2007.5,14681.751
2007.75,14875.943
2008,14857.342
2008.25,15023.21
2008.5,15075.73
2008.75,14704.022
2009,14551.583
2009.25,14504.001
2009.5,14631.307
2009.75,14826.345
2010,14968.896
2010.25,15187.024
2010.5,15339.711
2010.75,15522.781
2011,15574.331
2011.25,15780.006
2011.5,15893.499
2011.75,16102.819
2012,16315.076
2012.25,16435.293
2012.5,16548.815
2012.75,16647.723
2013,16845.017
2013.25,16928.625
2013.5,17151.537
2013.75,17368.794
2014,17381.812
2014.25,17691.165
2014.5,17995.3
2014.75,18075.379
2015,18214.218
2015.25,18405.862
2015.5,18520.403
2015.75,18565.145
2016,18640.558
2016.25,18827.942
2016.5,18995.777
2016.75,19243.922
2017,19420.467
2017.25,19568.667
2017.5,19870.351
2017.75,20221.66
2018,20467.925
2018.25,20772.518
2018.5,20958.32
2018.75,21094.695
2019,21299.154
2019.25,21562.375
2019.5,21813.003
2019.75,21961.573
2020,21794.019
2020.25,19805.951
2020.5,21562.441
2020.75,21867.367
2021,22511.17
2021.25,23192.674
2021.5,23718.255
2021.75,24530.587
2022,24929.184
2022.25,25456.409
2022.5,25885.432
2022.75,26289.489
