"time","value"
1948,4
1948.08333333333,4.7
1948.16666666667,4.5
1948.25,4
1948.33333333333,3.4
1948.41666666667,3.9
1948.5,3.9
1948.58333333333,3.6
1948.66666666667,3.4
1948.75,2.9
1948.83333333333,3.3
1948.91666666667,3.6
1949,5
1949.08333333333,5.8
1949.16666666667,5.6
1949.25,5.4
1949.33333333333,5.7
1949.41666666667,6.4
1949.5,7
1949.58333333333,6.3
1949.66666666667,5.9
1949.75,6.1
1949.83333333333,5.7
1949.91666666667,6
1950,7.6
1950.08333333333,7.9
1950.16666666667,7.1
1950.25,6
1950.33333333333,5.3
1950.41666666667,5.6
1950.5,5.3
1950.58333333333,4.1
1950.66666666667,4
1950.75,3.3
1950.83333333333,3.8
1950.91666666667,3.9
1951,4.4
1951.08333333333,4.2
1951.16666666667,3.8
1951.25,3.2
1951.33333333333,2.9
1951.41666666667,3.4
1951.5,3.3
1951.58333333333,2.9
1951.66666666667,3
1951.75,2.8
1951.83333333333,3.2
1951.91666666667,2.9
1952,3.7
1952.08333333333,3.8
1952.16666666667,3.3
1952.25,3
1952.33333333333,2.9
1952.41666666667,3.2
1952.5,3.3
1952.58333333333,3.1
1952.66666666667,2.7
1952.75,2.4
1952.83333333333,2.5
1952.91666666667,2.5
1953,3.4
1953.08333333333,3.2
1953.16666666667,2.9
1953.25,2.8
1953.33333333333,2.5
1953.41666666667,2.7
1953.5,2.7
1953.58333333333,2.4
1953.66666666667,2.6
1953.75,2.5
1953.83333333333,3.2
1953.91666666667,4.2
1954,5.7
1954.08333333333,6.3
1954.16666666667,6.4
1954.25,6.1
1954.33333333333,5.7
1954.41666666667,5.7
1954.5,5.7
1954.58333333333,5.4
1954.66666666667,5.3
1954.75,4.6
1954.83333333333,4.9
1954.91666666667,4.8
1955,5.8
1955.08333333333,5.7
1955.16666666667,5.2
1955.25,4.9
1955.33333333333,4.2
1955.41666666667,4.4
1955.5,4
1955.58333333333,3.8
1955.66666666667,3.5
1955.75,3.4
1955.83333333333,3.8
1955.91666666667,3.9
1956,4.7
1956.08333333333,4.8
1956.16666666667,4.7
1956.25,4.1
1956.33333333333,4.2
1956.41666666667,4.7
1956.5,4.4
1956.58333333333,3.7
1956.66666666667,3.4
1956.75,3.1
1956.83333333333,3.9
1956.91666666667,4
1957,4.9
1957.08333333333,4.7
1957.16666666667,4.3
1957.25,4
1957.33333333333,3.9
1957.41666666667,4.6
1957.5,4.1
1957.58333333333,3.7
1957.66666666667,3.7
1957.75,3.6
1957.83333333333,4.6
1957.91666666667,5
1958,6.8
1958.08333333333,7.7
1958.16666666667,7.7
1958.25,7.5
1958.33333333333,7.1
1958.41666666667,7.6
1958.5,7.4
1958.58333333333,6.7
1958.66666666667,6
1958.75,5.5
1958.83333333333,5.6
1958.91666666667,6
1959,7
1959.08333333333,7
1959.16666666667,6.4
1959.25,5.2
1959.33333333333,4.9
1959.41666666667,5.4
1959.5,5.2
1959.58333333333,4.8
1959.66666666667,4.7
1959.75,4.7
1959.83333333333,5.3
1959.91666666667,5.1
1960,6.1
1960.08333333333,5.7
1960.16666666667,6.1
1960.25,5.2
1960.33333333333,4.8
1960.41666666667,5.8
1960.5,5.5
1960.58333333333,5.2
1960.66666666667,4.7
1960.75,5
1960.83333333333,5.6
1960.91666666667,6.4
1961,7.7
1961.08333333333,8.1
1961.16666666667,7.7
1961.25,7
1961.33333333333,6.6
1961.41666666667,7.3
1961.5,6.9
1961.58333333333,6.2
1961.66666666667,5.8
1961.75,5.5
1961.83333333333,5.6
1961.91666666667,5.8
1962,6.7
1962.08333333333,6.5
1962.16666666667,6.2
1962.25,5.5
1962.33333333333,5.1
1962.41666666667,5.9
1962.5,5.3
1962.58333333333,5.3
1962.66666666667,4.9
1962.75,4.5
1962.83333333333,5.3
1962.91666666667,5.3
1963,6.6
1963.08333333333,6.9
1963.16666666667,6.3
1963.25,5.6
1963.33333333333,5.5
1963.41666666667,6.2
1963.5,5.6
1963.58333333333,5.2
1963.66666666667,4.8
1963.75,4.7
1963.83333333333,5.3
1963.91666666667,5.3
1964,6.4
1964.08333333333,6.2
1964.16666666667,5.9
1964.25,5.3
1964.33333333333,4.8
1964.41666666667,5.9
1964.5,4.9
1964.58333333333,4.8
1964.66666666667,4.5
1964.75,4.4
1964.83333333333,4.5
1964.91666666667,4.7
1965,5.5
1965.08333333333,5.7
1965.16666666667,5.1
1965.25,4.7
1965.33333333333,4.3
1965.41666666667,5.3
1965.5,4.5
1965.58333333333,4.2
1965.66666666667,3.8
1965.75,3.6
1965.83333333333,3.9
1965.91666666667,3.7
1966,4.4
1966.08333333333,4.2
1966.16666666667,4
1966.25,3.6
1966.33333333333,3.7
1966.41666666667,4.6
1966.5,3.9
1966.58333333333,3.6
1966.66666666667,3.3
1966.75,3.2
1966.83333333333,3.4
1966.91666666667,3.5
1967,4.2
1967.08333333333,4.2
1967.16666666667,3.9
1967.25,3.5
1967.33333333333,3.2
1967.41666666667,4.6
1967.5,4.1
1967.58333333333,3.7
1967.66666666667,3.7
1967.75,3.8
1967.83333333333,3.7
1967.91666666667,3.5
1968,4
1968.08333333333,4.2
1968.16666666667,3.8
1968.25,3.2
1968.33333333333,2.9
1968.41666666667,4.5
1968.5,4
1968.58333333333,3.5
1968.66666666667,3.3
1968.75,3.2
1968.83333333333,3.3
1968.91666666667,3.1
1969,3.7
1969.08333333333,3.7
1969.16666666667,3.5
1969.25,3.2
1969.33333333333,2.9
1969.41666666667,4.1
1969.5,3.8
1969.58333333333,3.5
1969.66666666667,3.7
1969.75,3.5
1969.83333333333,3.3
1969.91666666667,3.2
1970,4.2
1970.08333333333,4.7
1970.16666666667,4.6
1970.25,4.3
1970.33333333333,4.1
1970.41666666667,5.6
1970.5,5.3
1970.58333333333,5
1970.66666666667,5.2
1970.75,5.1
1970.83333333333,5.5
1970.91666666667,5.6
1971,6.6
1971.08333333333,6.6
1971.16666666667,6.3
1971.25,5.7
1971.33333333333,5.3
1971.41666666667,6.5
1971.5,6.2
1971.58333333333,5.9
1971.66666666667,5.8
1971.75,5.4
1971.83333333333,5.7
1971.91666666667,5.5
1972,6.5
1972.08333333333,6.4
1972.16666666667,6.1
1972.25,5.5
1972.33333333333,5.1
1972.41666666667,6.2
1972.5,5.9
1972.58333333333,5.5
1972.66666666667,5.4
1972.75,5.1
1972.83333333333,4.9
