"time","value"
2016,5.3
2016.08333333333,5.2
2016.16666666667,5.1
2016.25,4.7
2016.33333333333,4.5
2016.41666666667,5.1
2016.5,5.1
2016.58333333333,5
2016.66666666667,4.8
2016.75,4.7
2016.83333333333,4.4
2016.91666666667,4.5
2017,5.1
2017.08333333333,4.9
2017.16666666667,4.6
2017.25,4.1
2017.33333333333,4.1
2017.41666666667,4.5
2017.5,4.6
2017.58333333333,4.5
2017.66666666667,4.1
2017.75,3.9
2017.83333333333,3.9
2017.91666666667,3.9
2018,4.5
2018.08333333333,4.4
2018.16666666667,4.1
2018.25,3.7
2018.33333333333,3.6
2018.41666666667,4.2
2018.5,4.1
2018.58333333333,3.9
2018.66666666667,3.6
2018.75,3.5
2018.83333333333,3.5
2018.91666666667,3.7
2019,4.4
2019.08333333333,4.1
2019.16666666667,3.9
2019.25,3.3
2019.33333333333,3.4
2019.41666666667,3.8
2019.5,4
2019.58333333333,3.8
2019.66666666667,3.3
2019.75,3.3
2019.83333333333,3.3
2019.91666666667,3.4
2020,4
2020.08333333333,3.8
2020.16666666667,4.5
2020.25,14.4
2020.33333333333,13
2020.41666666667,11.2
2020.5,10.5
2020.58333333333,8.5
2020.66666666667,7.7
2020.75,6.6
2020.83333333333,6.4
2020.91666666667,6.5
2021,6.8
2021.08333333333,6.6
2021.16666666667,6.2
2021.25,5.7
2021.33333333333,5.5
2021.41666666667,6.1
2021.5,5.7
2021.58333333333,5.3
2021.66666666667,4.6
2021.75,4.3
2021.83333333333,3.9
2021.91666666667,3.7
2022,4.4
2022.08333333333,4.1
2022.16666666667,3.8
2022.25,3.3
2022.33333333333,3.4
2022.41666666667,3.8
2022.5,3.8
2022.58333333333,3.8
2022.66666666667,3.3
2022.75,3.4
2022.83333333333,3.4
2022.91666666667,3.3
2023,3.9
2023.08333333333,3.9
2023.16666666667,3.6
2023.25,3.1
2023.33333333333,3.4
2023.41666666667,3.8
2023.5,3.8
2023.58333333333,3.9
2023.66666666667,3.6
2023.75,3.6
2023.83333333333,3.5
2023.91666666667,3.5
2024,4.1
2024.08333333333,4.2
2024.16666666667,3.9
2024.25,3.5
2024.33333333333,3.7
2024.41666666667,4.3
2024.5,4.5
2024.58333333333,4.4
2024.66666666667,3.9
2024.75,3.9
2024.83333333333,4
2024.91666666667,3.8
2025,4.4
2025.08333333333,4.5
2025.16666666667,4.2
2025.25,3.9
2025.33333333333,4
2025.41666666667,4.4
2025.5,4.6
2025.58333333333,4.5
2025.66666666667,4.3
2025.75,NA
2025.83333333333,4.3
2025.91666666667,4.1
2026,4.7
2026.08333333333,4.7
2026.16666666667,4.3
