"time","value"
1947,243.164
1947.25,245.968
1947.5,249.585
1947.75,259.745
1948,265.742
1948.25,272.567
1948.5,279.196
1948.75,280.366
1949,275.034
1949.25,271.351
1949.5,272.889
1949.75,270.627
1950,280.828
1950.25,290.383
1950.5,308.153
1950.75,319.945
1951,336
1951.25,344.09
1951.5,351.385
1951.75,356.178
1952,359.82
1952.25,361.03
1952.5,367.701
1952.75,380.812
1953,387.98
1953.25,391.749
1953.5,391.171
1953.75,385.97
1954,385.345
1954.25,386.121
1954.5,390.996
1954.75,399.734
1955,413.073
1955.25,421.532
1955.5,430.221
1955.75,437.092
1956,439.746
1956.25,446.01
1956.5,451.191
1956.75,460.463
1957,469.779
1957.25,472.025
1957.5,479.49
1957.75,474.864
1958,467.54
1958.25,471.978
1958.5,485.841
1958.75,499.555
1959,510.33
1959.25,522.653
1959.5,525.034
1959.75,528.6
1960,542.648
1960.25,541.08
1960.5,545.604
1960.75,540.197
1961,545.018
1961.25,555.545
1961.5,567.664
1961.75,580.612
1962,594.013
1962.25,600.366
1962.5,609.027
1962.75,612.28
1963,621.672
1963.25,629.752
1963.5,644.444
1963.75,653.938
1964,669.822
1964.25,678.674
1964.5,692.031
1964.75,697.319
1965,717.79
1965.25,730.191
1965.5,749.323
1965.75,771.857
1966,795.734
1966.25,804.981
1966.5,819.638
1966.75,833.302
1967,844.17
1967.25,848.983
1967.5,865.233
1967.75,881.439
1968,909.387
1968.25,934.344
1968.5,950.825
1968.75,968.03
1969,993.337
1969.25,1009.02
1969.5,1029.956
1969.75,1038.147
1970,1051.2
1970.25,1067.375
1970.5,1086.059
1970.75,1088.608
1971,1135.156
1971.25,1156.271
1971.5,1177.675
1971.75,1190.297
1972,1230.609
1972.25,1266.369
1972.5,1290.566
1972.75,1328.904
1973,1377.49
1973.25,1413.887
1973.5,1433.838
1973.75,1476.289
1974,1491.209
1974.25,1530.056
1974.5,1560.026
1974.75,1599.679
1975,1616.116
1975.25,1651.853
1975.5,1709.82
1975.75,1761.831
1976,1820.487
1976.25,1852.332
1976.5,1886.558
1976.75,1934.273
1977,1988.648
1977.25,2055.909
1977.5,2118.473
1977.75,2164.27
1978,2202.76
1978.25,2331.633
1978.5,2395.053
1978.75,2476.949
1979,2526.61
1979.25,2591.247
1979.5,2667.565
1979.75,2723.883
1980,2789.842
1980.25,2797.352
1980.5,2856.483
1980.75,2985.557
1981,3124.206
1981.25,3162.532
1981.5,3260.609
1981.75,3280.818
1982,3274.302
1982.25,3331.972
1982.5,3366.322
1982.75,3402.561
1983,3473.413
1983.25,3578.848
1983.5,3689.179
1983.75,3794.706
1984,3908.054
1984.25,4009.601
1984.5,4084.25
1984.75,4148.551
1985,4230.168
1985.25,4294.887
1985.5,4386.773
1985.75,4444.094
1986,4507.894
1986.25,4545.34
1986.5,4607.669
1986.75,4657.627
1987,4722.156
1987.25,4806.16
1987.5,4884.555
1987.75,5007.994
1988,5073.372
1988.25,5190.036
1988.5,5282.835
1988.75,5399.509
1989,5511.253
1989.25,5612.463
1989.5,5695.365
1989.75,5747.237
1990,5872.701
1990.25,5960.028
1990.5,6015.116
1990.75,6004.733
1991,6035.178
1991.25,6126.862
1991.5,6205.937
1991.75,6264.54
1992,6363.102
1992.25,6470.763
1992.5,6566.641
1992.75,6680.803
1993,6729.459
1993.25,6808.939
1993.5,6882.098
1993.75,7013.738
1994,7115.652
1994.25,7246.931
1994.5,7331.075
1994.75,7455.288
1995,7522.289
