"time","value"
1979,0.47
1979.08333333333,0.29
1979.16666666667,-0.05
1979.25,0.21
1979.33333333333,0.27
1979.41666666667,-0.11
1979.5,-0.11
1979.58333333333,0.47
1979.66666666667,0.38
1979.75,0.23
1979.83333333333,0.53
1979.91666666667,0.63
1980,0.33
1980.08333333333,0.2
1980.16666666667,0.39
1980.25,0.51
1980.33333333333,0.45
1980.41666666667,0.55
1980.5,0.47
1980.58333333333,0.03
1980.66666666667,0.12
1980.75,0.02
1980.83333333333,-0.07
1980.91666666667,-0.12
1981,-0.36
1981.08333333333,-0.23
1981.16666666667,0.33
1981.25,0.43
1981.33333333333,-0.24
1981.41666666667,-0.7
1981.5,-0.61
1981.58333333333,-0.34
1981.66666666667,-0.07
1981.75,-0.16
1981.83333333333,-0.27
1981.91666666667,-0.19
1982,-0.43
1982.08333333333,-0.49
1982.16666666667,-0.27
1982.25,-0.36
1982.33333333333,-0.12
1982.41666666667,0.62
1982.5,1.65
1982.58333333333,1.91
1982.66666666667,1.69
1982.75,1.78
1982.83333333333,2.14
1982.91666666667,2.37
1983,2.48
1983.08333333333,2.68
1983.16666666667,2.61
1983.25,2.76
1983.33333333333,2.86
1983.41666666667,1.98
1983.5,0.63
1983.58333333333,-0.17
1983.66666666667,-0.49
1983.75,-0.53
1983.83333333333,-0.47
1983.91666666667,-0.5
1984,-0.54
1984.08333333333,-0.56
1984.16666666667,-0.16
1984.25,0.07
1984.33333333333,-0.45
1984.41666666667,-0.66
1984.5,-0.34
1984.58333333333,-0.2
1984.66666666667,-0.14
1984.75,-0.19
1984.83333333333,-0.58
1984.91666666667,-0.28
1985,-0.25
1985.08333333333,-0.58
1985.16666666667,-0.6
1985.25,-0.76
1985.33333333333,-1.23
1985.41666666667,-0.67
1985.5,-0.1
1985.58333333333,-0.49
1985.66666666667,-0.56
1985.75,-0.08
1985.83333333333,-0.06
1985.91666666667,-0.42
1986,-0.4
1986.08333333333,-0.34
1986.16666666667,-0.4
1986.25,-0.53
1986.33333333333,-0.26
1986.41666666667,0.01
1986.5,0.41
1986.58333333333,0.97
1986.66666666667,1.29
1986.75,0.56
1986.83333333333,0.64
1986.91666666667,1.06
1987,1.03
1987.08333333333,1.16
1987.16666666667,1.57
1987.25,1.74
1987.33333333333,1.96
1987.41666666667,2.07
1987.5,1.88
1987.58333333333,1.46
1987.66666666667,1.26
1987.75,1.18
1987.83333333333,0.9
1987.91666666667,0.79
1988,0.63
1988.08333333333,0.33
1988.16666666667,0.17
1988.25,-0.01
1988.33333333333,-0.39
1988.41666666667,-1.17
1988.5,-1.78
1988.58333333333,-1.81
1988.66666666667,-1.8
1988.75,-1.59
1988.83333333333,-1.7
1988.91666666667,-1.55
1989,-1.12
1989.08333333333,-1.1
1989.16666666667,-1.24
1989.25,-1.09
1989.33333333333,-1.03
1989.41666666667,-0.99
1989.5,-1.08
1989.58333333333,-0.66
1989.66666666667,-0.53
1989.75,-0.49
1989.83333333333,-0.36
1989.91666666667,-0.07
1990,0.13
1990.08333333333,0.45
1990.16666666667,0.61
1990.25,0.17
1990.33333333333,0.08
1990.41666666667,0.05
1990.5,0.13
1990.58333333333,0.02
1990.66666666667,0.22
1990.75,-0.07
1990.83333333333,0.12
1990.91666666667,0.31
1991,0.19
1991.08333333333,0.08
1991.16666666667,0.2
1991.25,0.2
1991.33333333333,0.35
1991.41666666667,0.97
1991.5,0.91
1991.58333333333,0.37
1991.66666666667,0.54
1991.75,0.97
1991.83333333333,1.04
1991.91666666667,1.23
1992,1.68
1992.08333333333,1.58
1992.16666666667,1.71
1992.25,1.97
