"time","value"
1948,295
1948.08333333333,286
1948.16666666667,300
1948.25,278
1948.33333333333,272
1948.41666666667,268
1948.5,308
1948.58333333333,321
1948.66666666667,313
1948.75,308
1948.83333333333,291
1948.91666666667,296
1949,294
1949.08333333333,273
1949.16666666667,300
1949.25,271
1949.33333333333,282
1949.41666666667,285
1949.5,318
1949.58333333333,323
1949.66666666667,313
1949.75,311
1949.83333333333,291
1949.91666666667,293
1950,297
1950.08333333333,273
1950.16666666667,294
1950.25,259
1950.33333333333,276
1950.41666666667,294
1950.5,316
1950.58333333333,325
1950.66666666667,315
1950.75,312
1950.83333333333,292
1950.91666666667,301
1951,304
1951.08333333333,282
1951.16666666667,313
1951.25,296
1951.33333333333,313
1951.41666666667,307
1951.5,328
1951.58333333333,334
1951.66666666667,329
1951.75,329
1951.83333333333,304
1951.91666666667,312
1952,312
1952.08333333333,300
1952.16666666667,317
1952.25,292
1952.33333333333,300
1952.41666666667,311
1952.5,345
1952.58333333333,350
1952.66666666667,344
1952.75,336
1952.83333333333,315
1952.91666666667,323
1953,322
1953.08333333333,296
1953.16666666667,315
1953.25,287
1953.33333333333,307
1953.41666666667,321
1953.5,354
1953.58333333333,356
1953.66666666667,348
1953.75,334
1953.83333333333,320
1953.91666666667,340
1954,332
1954.08333333333,302
1954.16666666667,324
1954.25,305
1954.33333333333,318
1954.41666666667,329
1954.5,359
1954.58333333333,363
1954.66666666667,359
1954.75,352
1954.83333333333,335
1954.91666666667,342
1955,329
1955.08333333333,306
1955.16666666667,332
1955.25,309
1955.33333333333,326
1955.41666666667,325
1955.5,354
1955.58333333333,367
1955.66666666667,362
1955.75,354
1955.83333333333,337
1955.91666666667,345
1956,339
1956.08333333333,325
1956.16666666667,345
1956.25,309
1956.33333333333,315
1956.41666666667,334
1956.5,370
1956.58333333333,383
1956.66666666667,375
1956.75,370
1956.83333333333,344
1956.91666666667,355
1957,346
1957.08333333333,317
1957.16666666667,348
1957.25,331
1957.33333333333,345
1957.41666666667,348
1957.5,380
1957.58333333333,381
1957.66666666667,377
1957.75,376
1957.83333333333,348
1957.91666666667,356
1958,344
1958.08333333333,320
1958.16666666667,347
1958.25,326
1958.33333333333,343
1958.41666666667,338
1958.5,361
1958.58333333333,368
1958.66666666667,378
1958.75,374
1958.83333333333,347
1958.91666666667,358
1959,349
1959.08333333333,323
1959.16666666667,358
1959.25,331
1959.33333333333,338
1959.41666666667,343
1959.5,374
1959.58333333333,380
1959.66666666667,377
1959.75,368
1959.83333333333,346
1959.91666666667,358
1960,338
1960.08333333333,329
1960.16666666667,347
1960.25,327
1960.33333333333,335
1960.41666666667,336
1960.5,370
1960.58333333333,399
1960.66666666667,385
1960.75,368
1960.83333333333,351
1960.91666666667,362
1961,358
1961.08333333333,333
1961.16666666667,356
1961.25,335
1961.33333333333,348
1961.41666666667,346
1961.5,374
1961.58333333333,386
1961.66666666667,384
1961.75,372
1961.83333333333,343
1961.91666666667,346
1962,346
1962.08333333333,318
1962.16666666667,359
1962.25,328
1962.33333333333,333
1962.41666666667,329
1962.5,366
1962.58333333333,373
1962.66666666667,367
1962.75,363
1962.83333333333,337
1962.91666666667,346
1963,355
1963.08333333333,314
1963.16666666667,343
1963.25,322
1963.33333333333,336
1963.41666666667,327
1963.5,362
1963.58333333333,366
1963.66666666667,361
1963.75,358
1963.83333333333,327
1963.91666666667,330
1964,336
1964.08333333333,326
1964.16666666667,337
1964.25,316
1964.33333333333,331
1964.41666666667,331
1964.5,359
1964.58333333333,350
1964.66666666667,356
1964.75,347
1964.83333333333,328
1964.91666666667,336
1965,315
1965.08333333333,292
1965.16666666667,322
1965.25,291
1965.33333333333,302
1965.41666666667,310
1965.5,330
1965.58333333333,335
1965.66666666667,333
1965.75,318
1965.83333333333,305
1965.91666666667,313
1966,301
1966.08333333333,281
1966.16666666667,302
1966.25,291
1966.33333333333,297
1966.41666666667,291
1966.5,311
1966.58333333333,319
1966.66666666667,317
1966.75,317
1966.83333333333,296
1966.91666666667,307
1967,295
1967.08333333333,265
1967.16666666667,300
1967.25,271
1967.33333333333,291
1967.41666666667,290
1967.5,310
1967.58333333333,318
1967.66666666667,310
1967.75,304
1967.83333333333,285
1967.91666666667,288
1968,277
1968.08333333333,260
1968.16666666667,282
1968.25,274
1968.33333333333,288
1968.41666666667,287
1968.5,308
1968.58333333333,312
1968.66666666667,306
1968.75,304
1968.83333333333,282
1968.91666666667,305
1969,284
1969.08333333333,273
1969.16666666667,286
1969.25,284
1969.33333333333,294
1969.41666666667,288
1969.5,315
1969.58333333333,322
1969.66666666667,317
1969.75,309
1969.83333333333,295
1969.91666666667,306
1970,300
1970.08333333333,275
1970.16666666667,301
1970.25,292
1970.33333333333,298
1970.41666666667,306
1970.5,326
1970.58333333333,332
1970.66666666667,329
1970.75,328
1970.83333333333,308
1970.91666666667,324
1971,299
1971.08333333333,284
1971.16666666667,306
1971.25,290
1971.33333333333,292
1971.41666666667,285
1971.5,295
1971.58333333333,306
1971.66666666667,317
1971.75,305
1971.83333333333,294
1971.91666666667,287
1972,278
1972.08333333333,261
1972.16666666667,275
1972.25,256
1972.33333333333,270
1972.41666666667,264
1972.5,265
1972.58333333333,284
1972.66666666667,284
1972.75,275
1972.83333333333,269
1972.91666666667,275
1973,259
1973.08333333333,244
1973.16666666667,267
1973.25,255
1973.33333333333,260
1973.41666666667,253
1973.5,267
1973.58333333333,277
1973.66666666667,277
1973.75,264
1973.83333333333,255
1973.91666666667,260
1974,261
1974.08333333333,238
1974.16666666667,257
1974.25,246
1974.33333333333,254
1974.41666666667,255
1974.5,273
1974.58333333333,276
1974.66666666667,286
1974.75,283
1974.83333333333,261
1974.91666666667,276
1975,264
1975.08333333333,243
1975.16666666667,259
1975.25,250
1975.33333333333,262
1975.41666666667,253
1975.5,280
1975.58333333333,288
1975.66666666667,270
1975.75,273
1975.83333333333,241
1975.91666666667,266
1976,257
1976.08333333333,242
1976.16666666667,266
1976.25,241
1976.33333333333,252
1976.41666666667,250
1976.5,281
1976.58333333333,278
1976.66666666667,286
1976.75,278
1976.83333333333,260
1976.91666666667,272
1977,274
1977.08333333333,256
1977.16666666667,276
1977.25,259
1977.33333333333,273
1977.41666666667,272
1977.5,297
1977.58333333333,296
1977.66666666667,290
1977.75,282
1977.83333333333,262
1977.91666666667,275
1978,262
1978.08333333333,251
1978.16666666667,285
1978.25,260
1978.33333333333,272
1978.41666666667,265
1978.5,296
1978.58333333333,312
1978.66666666667,289
1978.75,282
1978.83333333333,274
1978.91666666667,281
1979,277
