"time","value"
1947,2033.061
1947.25,2027.639
1947.5,2023.452
1947.75,2055.103
1948,2086.017
1948.25,2120.45
1948.5,2132.598
1948.75,2134.981
1949,2105.562
1949.25,2098.38
1949.5,2120.044
1949.75,2102.251
1950,2184.872
1950.25,2251.507
1950.5,2338.514
1950.75,2383.291
1951,2415.66
1951.25,2457.517
1951.5,2508.166
1951.75,2513.69
1952,2540.55
1952.25,2546.022
1952.5,2564.401
1952.75,2648.621
1953,2697.855
1953.25,2718.709
1953.5,2703.411
1953.75,2662.482
1954,2649.755
1954.25,2652.643
1954.5,2682.601
1954.75,2735.091
1955,2813.212
1955.25,2858.988
1955.5,2897.598
1955.75,2914.993
1956,2903.671
1956.25,2927.665
1956.5,2925.035
1956.75,2973.179
1957,2992.219
1957.25,2985.663
1957.5,3014.919
1957.75,2983.727
1958,2906.274
1958.25,2925.379
1958.5,2993.068
1958.75,3063.085
1959,3121.936
1959.25,3192.38
1959.5,3194.653
1959.75,3203.759
1960,3275.757
1960.25,3258.088
1960.5,3274.029
1960.75,3232.009
1961,3253.826
1961.25,3309.059
1961.5,3372.581
1961.75,3438.721
1962,3500.054
1962.25,3531.683
1962.5,3575.07
1962.75,3586.827
1963,3625.981
1963.25,3666.669
1963.5,3747.278
1963.75,3771.845
1964,3851.366
1964.25,3893.296
1964.5,3954.121
1964.75,3966.335
1965,4062.311
1965.25,4113.629
1965.5,4205.086
1965.75,4301.973
1966,4406.693
1966.25,4421.747
1966.5,4459.195
1966.75,4495.777
1967,4535.591
1967.25,4538.37
1967.5,4581.309
1967.75,4615.853
1968,4709.993
1968.25,4788.688
1968.5,4825.799
1968.75,4844.779
1969,4920.605
1969.25,4935.564
1969.5,4968.164
1969.75,4943.935
1970,4936.594
1970.25,4943.6
1970.5,4989.159
1970.75,4935.693
1971,5069.746
1971.25,5097.179
1971.5,5139.128
1971.75,5151.245
1972,5245.974
1972.25,5365.045
1972.5,5415.712
1972.75,5506.396
1973,5642.669
1973.25,5704.098
1973.5,5674.1
1973.75,5727.96
1974,5678.713
1974.25,5692.21
1974.5,5638.411
1974.75,5616.526
1975,5548.156
1975.25,5587.8
1975.5,5683.444
1975.75,5759.972
1976,5889.5
1976.25,5932.711
1976.5,5965.265
1976.75,6008.504
1977,6079.494
1977.25,6197.686
1977.5,6309.514
1977.75,6309.652
1978,6329.791
1978.25,6574.39
1978.5,6640.497
1978.75,6729.755
1979,6741.854
1979.25,6749.063
1979.5,6799.2
1979.75,6816.203
1980,6837.641
1980.25,6696.753
1980.5,6688.794
1980.75,6813.535
1981,6947.042
1981.25,6895.559
1981.5,6978.135
1981.75,6902.105
1982,6794.878
1982.25,6825.876
1982.5,6799.781
1982.75,6802.497
1983,6892.144
1983.25,7048.982
1983.5,7189.896
1983.75,7339.893
1984,7483.371
1984.25,7612.668
1984.5,7686.059
1984.75,7749.151
1985,7824.247
1985.25,7893.136
1985.5,8013.674
1985.75,8073.239
1986,8148.603
1986.25,8185.303
1986.5,8263.639
1986.75,8308.021
1987,8369.93
1987.25,8460.233
1987.5,8533.635
1987.75,8680.162
1988,8725.006
1988.25,8839.641
1988.5,8891.435
1988.75,9009.913
1989,9101.508
1989.25,9170.977
1989.5,9238.923
1989.75,9257.128
1990,9358.289
1990.25,9392.251
1990.5,9398.499
1990.75,9312.937
1991,9269.367
1991.25,9341.642
1991.5,9388.845
1991.75,9421.565
1992,9534.346
1992.25,9637.732
1992.5,9732.979
1992.75,9834.51
1993,9850.973
1993.25,9908.347
1993.5,9955.641
1993.75,10091.049
1994,10188.954
1994.25,10327.019
1994.5,10387.382
1994.75,10506.372
1995,10543.644
1995.25,10575.1
1995.5,10665.06
1995.75,10737.478
1996,10817.896
1996.25,10998.322
1996.5,11096.976
1996.75,11212.205
1997,11284.587
1997.25,11472.137
1997.5,11615.636
1997.75,11715.393
1998,11832.486
1998.25,11942.032
1998.5,12091.614
1998.75,12287
1999,12403.293
1999.25,12498.694
1999.5,12662.385
1999.75,12877.593
2000,12924.179
2000.25,13160.842
2000.5,13178.419
2000.75,13260.506
2001,13222.69
2001.25,13299.984
2001.5,13244.784
2001.75,13280.859
2002,13397.002
2002.25,13478.152
2002.5,13538.072
2002.75,13559.032
2003,13634.253
2003.25,13751.543
2003.5,13985.073
2003.75,14145.645
2004,14221.147
2004.25,14329.523
2004.5,14464.984
2004.75,14609.876
2005,14771.602
2005.25,14839.782
2005.5,14972.054
2005.75,15066.597
2006,15267.026
2006.25,15302.705
2006.5,15326.368
2006.75,15456.928
2007,15493.328
2007.25,15582.085
2007.5,15666.738
2007.75,15761.967
2008,15671.383
2008.25,15752.308
2008.5,15667.032
2008.75,15328.027
2009,15155.94
2009.25,15134.117
2009.5,15189.222
2009.75,15356.058
2010,15415.145
2010.25,15557.277
2010.5,15671.967
2010.75,15750.625
2011,15712.754
2011.25,15825.096
2011.5,15820.7
2011.75,16004.107
2012,16129.418
2012.25,16198.807
2012.5,16220.667
2012.75,16239.138
2013,16382.964
2013.25,16403.18
2013.5,16531.685
2013.75,16663.649
2014,16621.696
2014.25,16830.111
2014.5,17033.572
2014.75,17113.945
2015,17254.744
2015.25,17397.029
2015.5,17438.802
2015.75,17456.225
2016,17523.374
2016.25,17622.486
2016.5,17706.705
2016.75,17784.185
2017,17863.023
2017.25,17995.15
2017.5,18120.843
2017.75,18223.758
2018,18323.963
2018.25,18511.576
2018.5,18671.497
