"time","value"
2003.66666666667,2.88
2003.75,3.16
2003.83333333333,2.96
2003.91666666667,3.12
2004,3.23
2004.08333333333,3.32
2004.16666666667,3.45
2004.25,3.61
2004.33333333333,3.48
2004.41666666667,3.21
2004.5,3.11
2004.58333333333,3.35
2004.66666666667,3.26
2004.75,3.19
2004.83333333333,3.23
2004.91666666667,3.67
2005,3.69
2005.08333333333,3.89
2005.16666666667,3.98
2005.25,3.98
2005.33333333333,4
2005.41666666667,4.18
2005.5,4.38
2005.58333333333,4.34
2005.66666666667,4.18
2005.75,4.08
2005.83333333333,3.92
2005.91666666667,4.13
2006,4.03
2006.08333333333,4
2006.16666666667,4.62
2006.25,5.43
2006.33333333333,6.17
2006.41666666667,6.68
2006.5,6.14
2006.58333333333,5.83
2006.66666666667,4.72
2006.75,4.3
2006.83333333333,4.31
2006.91666666667,4.51
2007,4.46
2007.08333333333,4.62
2007.16666666667,4.7
2007.25,4.78
2007.33333333333,4.43
2007.41666666667,4.22
2007.5,4.35
2007.58333333333,4.73
2007.66666666667,4.58
2007.75,4.48
2007.83333333333,4.5
2007.91666666667,4.67
2008,4.81
2008.08333333333,4.74
2008.16666666667,5.22
2008.25,5.12
2008.33333333333,5.31
2008.41666666667,5.15
2008.5,5.62
2008.58333333333,5.37
2008.66666666667,4.96
2008.75,4.16
2008.83333333333,3.82
2008.91666666667,3.9
2009,4.11
2009.08333333333,4.12
2009.16666666667,4.48
2009.25,4.8
2009.33333333333,5.44
2009.41666666667,5.5
2009.5,5.77
2009.58333333333,4.99
2009.66666666667,5
2009.75,4.81
2009.83333333333,5.01
2009.91666666667,5.05
2010,5.15
2010.08333333333,5.54
2010.16666666667,5.99
2010.25,6.48
2010.33333333333,6.32
2010.41666666667,5.95
2010.5,6.31
2010.58333333333,6.44
2010.66666666667,6.2
2010.75,6.37
2010.83333333333,6.06
2010.91666666667,6.9
2011,6.8
2011.08333333333,6.98
2011.16666666667,7.3
2011.25,7.84
2011.33333333333,7.43
2011.41666666667,6.3
2011.5,5.63
2011.58333333333,5.38
2011.66666666667,4.78
2011.75,4.26
2011.83333333333,4.23
2011.91666666667,4.55
2012,4.35
2012.08333333333,4.77
2012.16666666667,5.05
2012.25,4.98
2012.33333333333,5.01
2012.41666666667,4.52
2012.5,4.44
2012.58333333333,4.65
2012.66666666667,4.81
2012.75,4.43
2012.83333333333,4.68
2012.91666666667,5.24
2013,6.16
2013.08333333333,6.43
2013.16666666667,6.56
2013.25,7.07
2013.33333333333,7.36
2013.41666666667,6.88
2013.5,7.35
2013.58333333333,6.96
2013.66666666667,5.81
2013.75,6.1
2013.83333333333,6.38
2013.91666666667,7.53
2014,8.06
2014.08333333333,7.79
2014.16666666667,7.43
2014.25,7.56
2014.33333333333,7.07
2014.41666666667,6.19
2014.5,6.39
2014.58333333333,5.93
2014.66666666667,5.49
2014.75,5.37
2014.83333333333,5.75
2014.91666666667,6.15
2015,5.95
2015.08333333333,5.58
2015.16666666667,5.14
2015.25,5.12
2015.33333333333,5.12
2015.41666666667,5.16
2015.5,5.29
2015.58333333333,5.45
2015.66666666667,5.03
2015.75,5.02
2015.83333333333,5.02
2015.91666666667,5.79
2016,6.45
2016.08333333333,6.14
2016.16666666667,6.91
2016.25,7.11
2016.33333333333,7.27
2016.41666666667,7.67
2016.5,8.01
2016.58333333333,7.06
2016.66666666667,6.67
2016.75,7.21
2016.83333333333,7.32
2016.91666666667,7.86
2017,8.64
2017.08333333333,7.88
2017.16666666667,7.2
2017.25,7.44
2017.33333333333,8.02
2017.41666666667,8.1
