"time","value"
1958.16666666667,315.7
1958.25,317.45
1958.33333333333,317.51
1958.41666666667,317.24
1958.5,315.86
1958.58333333333,314.93
1958.66666666667,313.2
1958.75,312.43
1958.83333333333,313.33
1958.91666666667,314.67
1959,315.58
1959.08333333333,316.48
1959.16666666667,316.65
1959.25,317.72
1959.33333333333,318.29
1959.41666666667,318.15
1959.5,316.54
1959.58333333333,314.8
1959.66666666667,313.84
1959.75,313.33
1959.83333333333,314.81
1959.91666666667,315.58
1960,316.43
1960.08333333333,316.98
1960.16666666667,317.58
1960.25,319.03
1960.33333333333,320.04
1960.41666666667,319.59
1960.5,318.18
1960.58333333333,315.9
1960.66666666667,314.17
1960.75,313.83
1960.83333333333,315
1960.91666666667,316.19
1961,316.89
1961.08333333333,317.7
1961.16666666667,318.54
1961.25,319.48
1961.33333333333,320.58
1961.41666666667,319.77
1961.5,318.57
1961.58333333333,316.79
1961.66666666667,314.99
1961.75,315.31
1961.83333333333,316.1
1961.91666666667,317.01
1962,317.94
1962.08333333333,318.55
1962.16666666667,319.68
1962.25,320.57
1962.33333333333,321.02
1962.41666666667,320.62
1962.5,319.61
1962.58333333333,317.4
1962.66666666667,316.25
1962.75,315.42
1962.83333333333,316.69
1962.91666666667,317.7
1963,318.74
1963.08333333333,319.07
1963.16666666667,319.86
1963.25,321.38
1963.33333333333,322.25
1963.41666666667,321.48
1963.5,319.74
1963.58333333333,317.77
1963.66666666667,316.21
1963.75,315.99
1963.83333333333,317.07
1963.91666666667,318.35
1964,319.57
1964.08333333333,320.01
1964.16666666667,320.74
1964.25,321.84
1964.33333333333,322.26
1964.41666666667,321.89
1964.5,320.44
1964.58333333333,318.69
1964.66666666667,316.7
1964.75,316.87
1964.83333333333,317.68
1964.91666666667,318.71
1965,319.44
1965.08333333333,320.44
1965.16666666667,320.89
1965.25,322.14
1965.33333333333,322.17
1965.41666666667,321.87
1965.5,321.21
1965.58333333333,318.87
1965.66666666667,317.81
1965.75,317.3
1965.83333333333,318.87
1965.91666666667,319.42
1966,320.62
1966.08333333333,321.6
1966.16666666667,322.39
1966.25,323.7
1966.33333333333,324.08
1966.41666666667,323.75
1966.5,322.38
1966.58333333333,320.36
1966.66666666667,318.64
1966.75,318.1
1966.83333333333,319.78
1966.91666666667,321.03
1967,322.33
1967.08333333333,322.5
1967.16666666667,323.04
1967.25,324.42
1967.33333333333,325
1967.41666666667,324.09
1967.5,322.54
1967.58333333333,320.92
1967.66666666667,319.25
1967.75,319.39
1967.83333333333,320.73
1967.91666666667,321.96
1968,322.57
1968.08333333333,323.15
1968.16666666667,323.89
1968.25,325.02
1968.33333333333,325.57
1968.41666666667,325.36
1968.5,324.14
1968.58333333333,322.11
1968.66666666667,320.33
1968.75,320.25
1968.83333333333,321.32
1968.91666666667,322.89
1969,324
1969.08333333333,324.42
1969.16666666667,325.63
1969.25,326.66
1969.33333333333,327.38
1969.41666666667,326.71
1969.5,325.88
1969.58333333333,323.66
