date,value
2011-04-01,100.0
2011-05-01,100.0
2011-06-01,100.0
2011-07-01,100.0
2011-08-01,100.0
2011-09-01,100.0
2011-10-01,100.0
2011-11-01,100.0
2011-12-01,100.0
2012-01-01,100.0
2012-02-01,100.0
2012-03-01,100.0
2012-04-01,99.3
2012-05-01,105.0
2012-06-01,102.3
2012-07-01,101.5
2012-08-01,99.9
2012-09-01,99.0
2012-10-01,103.7
2012-11-01,98.3
2012-12-01,107.1
2013-01-01,107.2
2013-02-01,101.4
2013-03-01,115.2
2013-04-01,102.6
2013-05-01,106.0
2013-06-01,101.3
2013-07-01,104.7
2013-08-01,104.3
2013-09-01,105.7
2013-10-01,105.7
2013-11-01,101.9
2013-12-01,110.9
2014-01-01,112.3
2014-02-01,106.7
2014-03-01,118.5
2014-04-01,106.6
2014-05-01,111.0
2014-06-01,109.7
2014-07-01,110.4
2014-08-01,108.0
2014-09-01,110.2
2014-10-01,106.0
2014-11-01,109.4
2014-12-01,115.3
2015-01-01,114.3
2015-02-01,109.9
2015-03-01,121.3
2015-04-01,107.3
2015-05-01,113.0
2015-06-01,110.8
2015-07-01,111.8
2015-08-01,112.0
2015-09-01,112.6
2015-10-01,115.5
2015-11-01,110.3
2015-12-01,118.9
2016-01-01,118.9
2016-02-01,117.8
2016-03-01,127.6
2016-04-01,113.7
2016-05-01,121.3
2016-06-01,119.7
2016-07-01,116.8
2016-08-01,116.5
2016-09-01,118.2
2016-10-01,120.3
2016-11-01,115.9
2016-12-01,121.7
2017-01-01,123.1
2017-02-01,119.2
2017-03-01,133.2
2017-04-01,117.3
2017-05-01,124.8
2017-06-01,119.3
2017-07-01,118.0
2017-08-01,122.1
2017-09-01,123.1
2017-10-01,122.5
2017-11-01,125.8
2017-12-01,130.6
2018-01-01,132.3
2018-02-01,127.4
2018-03-01,140.3
2018-04-01,122.6
2018-05-01,129.6
2018-06-01,127.7
2018-07-01,125.7
2018-08-01,128.0
2018-09-01,128.8
2018-10-01,132.8
2018-11-01,126.1
2018-12-01,133.9
2019-01-01,134.4
2019-02-01,127.6
2019-03-01,144.1
2019-04-01,126.5
2019-05-01,135.4
2019-06-01,129.3
2019-07-01,131.8
2019-08-01,126.2
2019-09-01,122.9
2019-10-01,124.0
2019-11-01,128.8
2019-12-01,134.5
2020-01-01,137.4
2020-02-01,134.2
2020-03-01,117.2
2020-04-01,54.0
2020-05-01,90.2
2020-06-01,107.9
2020-07-01,117.9
2020-08-01,117.2
2020-09-01,124.1
2020-10-01,129.6
2020-11-01,126.7
2020-12-01,137.4
2021-01-01,136.6
2021-02-01,129.9
2021-03-01,145.6
2021-04-01,126.1
2021-05-01,115.1
2021-06-01,122.8
2021-07-01,131.5
2021-08-01,132.4
2021-09-01,129.5
2021-10-01,135.0
2021-11-01,128.0
2021-12-01,138.8
2022-01-01,139.3
2022-02-01,131.4
2022-03-01,148.8
2022-04-01,134.5
2022-05-01,137.8
2022-06-01,138.3
2022-07-01,134.4
2022-08-01,131.5
2022-09-01,133.8
2022-10-01,129.5
2022-11-01,137.7
2022-12-01,145.9
2023-01-01,147.4
2023-02-01,139.3
2023-03-01,151.7
2023-04-01,140.7
2023-05-01,145.6
2023-06-01,143.9
2023-07-01,142.7
2023-08-01,145.8
2023-09-01,142.3
2023-10-01,144.9
2023-11-01,141.1
2023-12-01,152.3
2024-01-01,153.6
2024-02-01,147.1
2024-03-01,160.0
2024-04-01,148.0
2024-05-01,154.7
2024-06-01,151.0
2024-07-01,149.8
2024-08-01,145.8
2024-09-01,146.9
2024-10-01,150.3
2024-11-01,148.1
2024-12-01,158.0
2025-01-01,161.6
2025-02-01,151.1
2025-03-01,166.3
2025-04-01,151.8
2025-05-01,157.6
2025-06-01,153.3
2025-07-01,156.2
2025-08-01,151.8
2025-09-01,153.7
2025-10-01,151.1
2025-11-01,158.7
2025-12-01,170.7
2026-01-01,169.9
2026-02-01,158.8
2026-03-01,173.2
