name	package	title	n_rows	n_cols	columns	licence	book	filename
BCJ	astsa	Daily Returns of Three Banks	3243	3	boa;citi;jpm	GPL-3	Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)	BCJ.csv
ENSO	astsa	El Nino - Southern Oscillation Index	862	2	time;value	GPL-3	Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)	ENSO.csv
EQ5	astsa	Seismic Trace of Earthquake number 5	2048	2	time;value	GPL-3	Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)	EQ5.csv
EQcount	astsa	Earthquake Counts	107	2	time;value	GPL-3	Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)	EQcount.csv
EXP6	astsa	Seismic Trace of Explosion number 6	2048	2	time;value	GPL-3	Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)	EXP6.csv
GDP	astsa		305	2	time;value	GPL-3	Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)	GDP_caps.csv
GGBsuicide	astsa	Golden Gate Bridge Suicides, 1999-2009	223	2	index;value	GPL-3	Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)	GGBsuicide.csv
GNP	astsa		304	2	time;value	GPL-3	Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)	GNP.csv
HCT	astsa	Hematocrit Levels	91	2	time;value	GPL-3	Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)	HCT.csv
Hare	astsa	Snowshoe Hare	91	2	time;value	GPL-3	Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)	Hare.csv
Lynx	astsa	Canadian Lynx	91	2	time;value	GPL-3	Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)	Lynx.csv
MEI	astsa	Multivariate El Nino/Southern Oscillation Index (version 1)	827	2	time;value	GPL-3	Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)	MEI.csv
MEI2	astsa	Multivariate El Nino/Southern Oscillation Index (version 2)	557	2	time;value	GPL-3	Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)	MEI2.csv
PLT	astsa	Platelet Levels	91	2	time;value	GPL-3	Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)	PLT.csv
USpop	astsa	U.S. Population - 1900 to 2010	12	2	time;value	GPL-3	Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)	USpop.csv
USpop20	astsa	U.S. Population - 1900 to 2020	13	2	time;value	GPL-3	Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)	USpop20.csv
UnempRate	astsa	U.S. Unemployment Rate	827	2	time;value	GPL-3	Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)	UnempRate.csv
UnempRate2	astsa	U.S. Unemployment Rate (update)	123	2	time;value	GPL-3	Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)	UnempRate2.csv
WBC	astsa	White Blood Cell Levels	91	2	time;value	GPL-3	Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)	WBC.csv
ar1miss	astsa	AR with Missing Values	100	2	time;value	GPL-3	Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)	ar1miss.csv
