"time","value"
1970,0
1970.08333333333,1
1970.16666666667,0
1970.25,0
1970.33333333333,1
1970.41666666667,3
1970.5,9
1970.58333333333,2
1970.66666666667,3
1970.75,5
1970.83333333333,3
1970.91666666667,5
1971,2
1971.08333333333,2
1971.16666666667,0
1971.25,1
1971.33333333333,0
1971.41666666667,1
1971.5,3
1971.58333333333,3
1971.66666666667,2
1971.75,1
1971.83333333333,1
1971.91666666667,5
1972,0
1972.08333333333,3
1972.16666666667,1
1972.25,0
1972.33333333333,1
1972.41666666667,4
1972.5,0
1972.58333333333,0
1972.66666666667,1
1972.75,6
1972.83333333333,14
1972.91666666667,1
1973,1
1973.08333333333,0
1973.16666666667,0
1973.25,1
1973.33333333333,1
1973.41666666667,1
1973.5,1
1973.58333333333,0
1973.66666666667,1
1973.75,0
1973.83333333333,1
1973.91666666667,0
1974,1
1974.08333333333,0
1974.16666666667,1
1974.25,0
1974.33333333333,1
1974.41666666667,0
1974.5,1
1974.58333333333,0
1974.66666666667,1
1974.75,0
1974.83333333333,0
1974.91666666667,2
1975,0
1975.08333333333,1
1975.16666666667,0
1975.25,1
1975.33333333333,0
1975.41666666667,0
1975.5,1
1975.58333333333,2
1975.66666666667,0
1975.75,0
1975.83333333333,1
1975.91666666667,2
1976,0
1976.08333333333,3
1976.16666666667,1
1976.25,1
1976.33333333333,0
1976.41666666667,2
1976.5,0
1976.58333333333,4
1976.66666666667,0
1976.75,2
1976.83333333333,1
1976.91666666667,1
1977,1
1977.08333333334,1
1977.16666666667,0
1977.25,1
1977.33333333334,1
1977.41666666667,0
1977.5,2
1977.58333333334,1
1977.66666666667,3
1977.75,1
1977.83333333334,2
1977.91666666667,4
1978,0
1978.08333333334,0
1978.16666666667,0
1978.25,1
1978.33333333334,0
1978.41666666667,1
1978.5,0
1978.58333333334,2
1978.66666666667,2
1978.75,4
1978.83333333334,2
1978.91666666667,3
1979,3
1979.08333333334,0
1979.16666666667,0
1979.25,2
1979.33333333334,7
1979.41666666667,8
1979.5,2
1979.58333333334,4
1979.66666666667,1
1979.75,1
1979.83333333334,2
1979.91666666667,4
1980,0
1980.08333333334,1
1980.16666666667,1
1980.25,1
1980.33333333334,3
1980.41666666667,0
1980.5,0
1980.58333333334,0
1980.66666666667,0
1980.75,1
1980.83333333334,0
1980.91666666667,1
1981,1
1981.08333333334,0
1981.16666666667,0
1981.25,0
1981.33333333334,0
1981.41666666667,0
1981.5,1
1981.58333333334,2
1981.66666666667,0
1981.75,2
1981.83333333334,0
1981.91666666667,0
1982,0
1982.08333333334,1
1982.16666666667,0
1982.25,1
1982.33333333334,0
1982.41666666667,1
1982.5,0
1982.58333333334,2
1982.66666666667,0
1982.75,0
1982.83333333334,1
1982.91666666667,2
1983,0
1983.08333333334,1
1983.16666666667,0
1983.25,0
1983.33333333334,0
1983.41666666667,1
1983.5,2
1983.58333333334,1
1983.66666666667,0
1983.75,1
1983.83333333334,3
1983.91666666667,6
