"time","value"
1948,40.6
1948.08333333333,41.1
1948.16666666667,40.5
1948.25,40.1
1948.33333333333,40.4
1948.41666666667,41.2
1948.5,39.3
1948.58333333333,41.6
1948.66666666667,42.3
1948.75,43.2
1948.83333333333,41.8
1948.91666666667,40.5
1949,40
1949.08333333333,40.1
1949.16666666667,39.3
1949.25,38.5
1949.33333333333,37.7
1949.41666666667,37.9
1949.5,36
1949.58333333333,39
1949.66666666667,40
1949.75,39.2
1949.83333333333,39
1949.91666666667,38.8
1950,39.8
1950.08333333333,40.3
1950.16666666667,41.6
1950.25,42.6
1950.33333333333,43
1950.41666666667,44.7
1950.5,43.4
1950.58333333333,48.3
1950.66666666667,48.7
1950.75,50
1950.83333333333,48.3
1950.91666666667,48.2
1951,48.5
1951.08333333333,49.6
1951.16666666667,50
1951.25,49.4
1951.33333333333,48.6
1951.41666666667,49.1
1951.5,45.5
1951.58333333333,48
1951.66666666667,49.1
1951.75,49.5
1951.83333333333,48.9
1951.91666666667,48.2
1952,49
1952.08333333333,50.1
1952.16666666667,50.4
1952.25,49.1
1952.33333333333,48.3
1952.41666666667,48.4
1952.5,44.9
1952.58333333333,50.6
1952.66666666667,53.4
1952.75,54.5
1952.83333333333,54.5
1952.91666666667,53.6
1953,54.2
1953.08333333333,55.6
1953.16666666667,56.3
1953.25,55.8
1953.33333333333,55.8
1953.41666666667,55.9
1953.5,53.2
1953.58333333333,55.8
1953.66666666667,55.5
1953.75,55.8
1953.83333333333,53.2
1953.91666666667,51
1954,51.3
1954.08333333333,52
1954.16666666667,51.8
1954.25,51.2
1954.33333333333,51.3
1954.41666666667,51.9
1954.5,48.8
1954.58333333333,51.3
1954.66666666667,52.3
1954.75,53.5
1954.83333333333,53.6
1954.91666666667,53.4
1955,54.7
1955.08333333333,56.2
1955.16666666667,57.5
1955.25,57.9
1955.33333333333,58.4
1955.41666666667,59.1
1955.5,55.8
1955.58333333333,58.6
1955.66666666667,60.1
1955.75,61.9
1955.83333333333,61.3
1955.91666666667,60.4
