"time","value"
1953,1.673
1953.25,3.173
1953.5,0.492
1953.75,-0.327
1954,-0.333
1954.25,0.169
1954.5,-1.822
1954.75,-0.499
1955,0
1955.25,1.333
1955.5,0.662
1955.75,-0.83
1956,2.983
1956.25,5.115
1956.5,2.928
1956.75,2.417
1957,4.011
1957.25,4.296
1957.5,1.415
1957.75,4.071
1958,3.104
1958.25,0.462
1958.5,0
1958.75,0
1959,1.231
1959.25,2.451
1959.5,2.134
1959.75,-0.15
1960,2.728
1960.25,0.75
1960.5,2.407
1960.75,0.148
1961,0.148
1961.25,2.091
1961.5,0.445
1961.75,0.89
1962,1.776
1962.25,1.618
1962.5,0.885
1962.75,0.584
1963,1.022
1963.25,2.918
1963.5,1.012
1963.75,1.014
1964,0.864
1964.25,1.436
1964.5,1.577
1964.75,0.71
1965,2.849
1965.25,1.837
1965.5,1.689
1965.75,3.221
1966,4.038
1966.25,3.853
1966.5,2.998
1966.75,0.812
1967,2.702
1967.25,4.29
1967.5,3.321
1967.75,4.209
1968,4.427
1968.25,5.028
1968.5,4.832
1968.75,4.522
1969,6.966
1969.25,5.74
1969.5,5.539
1969.75,5.941
1970,6.437
1970.25,4.496
1970.5,5.24
1970.75,3.036
1971,4.574
1971.25,3.976
1971.5,2.186
1971.75,3.149
1972,3.235
1972.25,3.639
1972.5,3.603
1972.75,5.559
1973,8.811
1973.25,8.807
1973.5,9.331
1973.75,11.233
1974,11.316
1974.25,12.187
1974.5,11.667
1974.75,7.267
1975,6.282
1975.25,8.529
1975.5,6.384
1975.75,3.87
1976,4.943
1976.25,6.387
1976.5,4.501
1976.75,7.049
1977,8.596
1977.25,5.834
1977.5,4.436
1977.75,6.76
1978,10.391
1978.25,9.454
1978.5,8.088
1978.75,9.958
1979,13.719
1979.25,13.21
1979.5,11.698
1979.75,15.568
1980,14.447
1980.25,7.571
