"time","value"
1953,1.98
1953.25,2.153
1953.5,1.957
1953.75,1.473
1954,1.06
1954.25,0.787
1954.5,0.883
1954.75,1.017
1955,1.227
1955.25,1.483
1955.5,1.857
1955.75,2.34
1956,2.327
1956.25,2.567
1956.5,2.583
1956.75,3.033
1957,3.1
1957.25,3.137
1957.5,3.353
1957.75,3.303
1958,1.76
1958.25,0.957
1958.5,1.68
1958.75,2.69
1959,2.773
1959.25,3
1959.5,3.54
1959.75,4.23
1960,3.873
1960.25,2.993
1960.5,2.36
1960.75,2.307
1961,2.35
1961.25,2.303
1961.5,2.303
1961.75,2.46
1962,2.723
1962.25,2.713
1962.5,2.84
1962.75,2.813
1963,2.907
1963.25,2.937
1963.5,3.293
1963.75,3.497
1964,3.53
1964.25,3.477
1964.5,3.497
1964.75,3.683
1965,3.89
1965.25,3.873
1965.5,3.867
1965.75,4.167
1966,4.61
1966.25,4.587
1966.5,5.043
1966.75,5.21
1967,4.513
1967.25,3.66
1967.5,4.3
1967.75,4.753
1968,5.05
1968.25,5.52
1968.5,5.197
1968.75,5.587
1969,6.093
1969.25,6.197
1969.5,7.023
1969.75,7.353
1970,7.21
1970.25,6.677
1970.5,6.33
1970.75,5.353
1971,3.84
1971.25,4.25
1971.5,5.01
1971.75,4.23
1972,3.437
1972.25,3.77
1972.5,4.22
1972.75,4.863
1973,5.7
1973.25,6.603
1973.5,8.323
1973.75,7.5
1974,7.617
1974.25,8.153
1974.5,8.19
1974.75,7.36
1975,5.75
1975.25,5.393
1975.5,6.33
1975.75,5.627
1976,4.917
1976.25,5.157
1976.5,5.15
1976.75,4.673
1977,4.63
1977.25,4.84
1977.5,5.497
1977.75,6.11
1978,6.393
1978.25,6.477
1978.5,7.313
1978.75,8.57
1979,9.383
1979.25,9.377
1979.5,9.673
1979.75,11.843
1980,13.353
1980.25,9.617
