"Month","Concession","Type","ATC1","ATC1_desc","ATC2","ATC2_desc","Scripts","Cost"
"7851","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",18228,67877
"7882","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15327,57011
"7913","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14775,55020
"7943","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15380,57222
"7974","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14371,52120
"8004","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15028,54299
"8035","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11040,39753
"8066","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15165,54405
"8095","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16898,61108
"8126","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",18141,65356
"8156","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14604,52804
"8187","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13691,50083
"8217","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14982,55635.81
"8248","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13860,51111.5
"8279","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14071,53778.52
"8309","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13342,51083.8
"8340","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12430,47557.17
"8370","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13595,52042.15
"8401","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",10824,41636.38
"8432","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16863,66216.82
"8460","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",20474,80831.09
"8491","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",18532,73444.34
"8521","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17688,70393.09
"8552","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16588,66598.48
"8582","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16455,68661.61
"8613","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15997,67837.64
"8644","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15419,65289.87
"8674","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14086,59544.72
"8705","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13456,57020.7
"8735","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15789,67196.36
"8766","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11269,48136.22
"8797","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17359,75784.19
"8825","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",22105,97465
"8856","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",18774,82693.97
"8886","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",19374,85553.67
"8917","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",18204,80674.37
"8947","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16575,72850.78
"8978","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17900,81345.17
"9009","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15891,72181.69
"9039","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14673,66558.77
"9070","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13945,63614.43
"9100","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13383,60790.03
"9131","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12974,59327.49
"9162","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",18129,83770.48
"9190","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",21662,100895.63
"9221","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",20315,94819.4
"9251","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",19140,89651.67
"9282","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",18166,85445.54
"9312","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16846,80717.02
"9343","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17439,86404.17
"9374","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15528,77041.78
"9404","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15858,78171.49
"9435","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13954,69380.33
"9465","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13779,68092.49
"9496","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13850,68526.81
"9527","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",19471,94464.45
"9556","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",20717,100329.78
"9587","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",20061,97290.77
"9617","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17191,83140.98
"9648","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14290,69139.44
"9678","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17031,82571.24
"9709","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15870,77735.28
"9740","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15475,75383.77
"9770","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14972,73820.29
"9801","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13171,64545.35
"9831","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14379,70315.66
"9862","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12600,60384.52
