"State","Industry","Series ID","Month","Turnover"
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","4473",4.4
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","4503",3.4
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","4534",3.6
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","4564",4
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","4595",3.6
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","4626",4.2
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","4656",4.8
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","4687",5.4
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","4717",6.9
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","4748",3.8
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","4779",4.2
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","4807",4
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","4838",4.4
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","4868",4.3
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","4899",4.3
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","4929",4.6
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","4960",4.9
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","4991",4.5
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5021",5.5
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5052",6.7
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5082",9.6
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5113",3.8
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5144",3.8
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5173",4.4
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5204",3.8
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5234",3.9
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5265",4.1
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5295",4.3
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5326",4.8
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5357",5
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5387",5.3
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5418",5.6
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5448",6.8
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5479",4.6
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5510",4.3
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5538",4.3
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5569",6
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5599",5.8
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5630",5.9
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5660",6.4
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5691",7
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5722",6.7
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5752",6.7
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5783",6.8
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5813",7.6
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5844",7.9
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5875",6.1
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5903",9.3
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5934",7
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5964",7.5
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","5995",6.2
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","6025",9.8
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","6056",9.1
"Australian Capital Territory","Cafes, restaurants and catering services","A3349849A","6087",9
