"time","value"
1948,235.1
1948.08333333333,280.7
1948.16666666667,264.6
1948.25,240.7
1948.33333333333,201.4
1948.41666666667,240.8
1948.5,241.1
1948.58333333333,223.8
1948.66666666667,206.1
1948.75,174.7
1948.83333333333,203.3
1948.91666666667,220.5
1949,299.5
1949.08333333333,347.4
1949.16666666667,338.3
1949.25,327.7
1949.33333333333,351.6
1949.41666666667,396.6
1949.5,438.8
1949.58333333333,395.6
1949.66666666667,363.5
1949.75,378.8
1949.83333333333,357
1949.91666666667,369
1950,464.8
1950.08333333333,479.1
1950.16666666667,431.3
1950.25,366.5
1950.33333333333,326.3
1950.41666666667,355.1
1950.5,331.6
1950.58333333333,261.3
1950.66666666667,249
1950.75,205.5
1950.83333333333,235.6
1950.91666666667,240.9
1951,264.9
1951.08333333333,253.8
1951.16666666667,232.3
1951.25,193.8
1951.33333333333,177
1951.41666666667,213.2
1951.5,207.2
1951.58333333333,180.6
1951.66666666667,188.6
1951.75,175.4
1951.83333333333,199
1951.91666666667,179.6
1952,225.8
1952.08333333333,234
1952.16666666667,200.2
1952.25,183.6
1952.33333333333,178.2
1952.41666666667,203.2
1952.5,208.5
1952.58333333333,191.8
1952.66666666667,172.8
1952.75,148
1952.83333333333,159.4
1952.91666666667,154.5
1953,213.2
1953.08333333333,196.4
1953.16666666667,182.8
1953.25,176.4
1953.33333333333,153.6
1953.41666666667,173.2
1953.5,171
1953.58333333333,151.2
1953.66666666667,161.9
1953.75,157.2
1953.83333333333,201.7
1953.91666666667,236.4
1954,356.1
1954.08333333333,398.3
1954.16666666667,403.7
1954.25,384.6
1954.33333333333,365.8
1954.41666666667,368.1
1954.5,367.9
1954.58333333333,347
1954.66666666667,343.3
1954.75,292.9
1954.83333333333,311.5
1954.91666666667,300.9
1955,366.9
1955.08333333333,356.9
1955.16666666667,329.7
1955.25,316.2
1955.33333333333,269
1955.41666666667,289.3
1955.5,266.2
1955.58333333333,253.6
1955.66666666667,233.8
1955.75,228.4
1955.83333333333,253.6
1955.91666666667,260.1
1956,306.6
1956.08333333333,309.2
1956.16666666667,309.5
1956.25,271
1956.33333333333,279.9
1956.41666666667,317.9
1956.5,298.4
1956.58333333333,246.7
1956.66666666667,227.3
1956.75,209.1
1956.83333333333,259.9
1956.91666666667,266
1957,320.6
1957.08333333333,308.5
1957.16666666667,282.2
1957.25,262.7
1957.33333333333,263.5
1957.41666666667,313.1
1957.5,284.3
1957.58333333333,252.6
1957.66666666667,250.3
1957.75,246.5
1957.83333333333,312.7
1957.91666666667,333.2
1958,446.4
1958.08333333333,511.6
1958.16666666667,515.5
1958.25,506.4
1958.33333333333,483.2
1958.41666666667,522.3
1958.5,509.8
1958.58333333333,460.7
1958.66666666667,405.8
1958.75,375
1958.83333333333,378.5
1958.91666666667,406.8
1959,467.8
1959.08333333333,469.8
1959.16666666667,429.8
1959.25,355.8
1959.33333333333,332.7
1959.41666666667,378
1959.5,360.5
1959.58333333333,334.7
1959.66666666667,319.5
1959.75,323.1
1959.83333333333,363.6
1959.91666666667,352.1
1960,411.9
1960.08333333333,388.6
1960.16666666667,416.4
1960.25,360.7
1960.33333333333,338
1960.41666666667,417.2
1960.5,388.4
1960.58333333333,371.1
1960.66666666667,331.5
1960.75,353.7
1960.83333333333,396.7
1960.91666666667,447
1961,533.5
1961.08333333333,565.4
1961.16666666667,542.3
1961.25,488.7
1961.33333333333,467.1
1961.41666666667,531.3
1961.5,496.1
1961.58333333333,444
1961.66666666667,403.4
1961.75,386.3
1961.83333333333,394.1
1961.91666666667,404.1
1962,462.1
1962.08333333333,448.1
1962.16666666667,432.3
1962.25,386.3
1962.33333333333,395.2
1962.41666666667,421.9
1962.5,382.9
1962.58333333333,384.2
1962.66666666667,345.5
1962.75,323.4
1962.83333333333,372.6
1962.91666666667,376
1963,462.7
1963.08333333333,487
1963.16666666667,444.2
1963.25,399.3
1963.33333333333,394.9
1963.41666666667,455.4
1963.5,414
1963.58333333333,375.5
1963.66666666667,347
1963.75,339.4
1963.83333333333,385.8
1963.91666666667,378.8
1964,451.8
1964.08333333333,446.1
1964.16666666667,422.5
1964.25,383.1
1964.33333333333,352.8
1964.41666666667,445.3
1964.5,367.5
1964.58333333333,355.1
1964.66666666667,326.2
1964.75,319.8
1964.83333333333,331.8
1964.91666666667,340.9
1965,394.1
1965.08333333333,417.2
1965.16666666667,369.9
1965.25,349.2
1965.33333333333,321.4
1965.41666666667,405.7
1965.5,342.9
1965.58333333333,316.5
1965.66666666667,284.2
1965.75,270.9
1965.83333333333,288.8
1965.91666666667,278.8
1966,324.4
1966.08333333333,310.9
1966.16666666667,299
1966.25,273
1966.33333333333,279.3
1966.41666666667,359.2
1966.5,305
1966.58333333333,282.1
1966.66666666667,250.3
1966.75,246.5
1966.83333333333,257.9
1966.91666666667,266.5
1967,315.9
1967.08333333333,318.4
1967.16666666667,295.4
1967.25,266.4
1967.33333333333,245.8
1967.41666666667,362.8
1967.5,324.9
1967.58333333333,294.2
1967.66666666667,289.5
1967.75,295.2
1967.83333333333,290.3
1967.91666666667,272
1968,307.4
1968.08333333333,328.7
1968.16666666667,292.9
1968.25,249.1
1968.33333333333,230.4
1968.41666666667,361.5
1968.5,321.7
1968.58333333333,277.2
1968.66666666667,260.7
1968.75,251
1968.83333333333,257.6
1968.91666666667,241.8
1969,287.5
1969.08333333333,292.3
1969.16666666667,274.7
1969.25,254.2
1969.33333333333,230
1969.41666666667,339
1969.5,318.2
1969.58333333333,287
1969.66666666667,295.8
1969.75,284
1969.83333333333,271
1969.91666666667,262.7
1970,340.6
1970.08333333333,379.4
1970.16666666667,373.3
1970.25,355.2
1970.33333333333,338.4
1970.41666666667,466.9
1970.5,451
1970.58333333333,422
1970.66666666667,429.2
1970.75,425.9
1970.83333333333,460.7
1970.91666666667,463.6
1971,541.4
1971.08333333333,544.2
1971.16666666667,517.5
1971.25,469.4
1971.33333333333,439.4
1971.41666666667,549
1971.5,533
1971.58333333333,506.1
1971.66666666667,484
1971.75,457
1971.83333333333,481.5
1971.91666666667,469.5
1972,544.7
1972.08333333333,541.2
1972.16666666667,521.5
1972.25,469.7
1972.33333333333,434.4
1972.41666666667,542.6
1972.5,517.3
1972.58333333333,485.7
1972.66666666667,465.8
1972.75,447
1972.83333333333,426.6
1972.91666666667,411.6
1973,467.5
1973.08333333333,484.5
1973.16666666667,451.2
1973.25,417.4
1973.33333333333,379.9
1973.41666666667,484.7
1973.5,455
1973.58333333333,420.8
1973.66666666667,416.5
1973.75,376.3
1973.83333333333,405.6
1973.91666666667,405.8
1974,500.8
1974.08333333333,514
1974.16666666667,475.5
1974.25,430.1
1974.33333333333,414.4
1974.41666666667,538
1974.5,526
1974.58333333333,488.5
