name,package,title,n_rows,n_cols,columns,licence,book
BCJ,astsa,Daily Returns of Three Banks,3243,3,boa;citi;jpm,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
ENSO,astsa,El Nino - Southern Oscillation Index,862,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
EQ5,astsa,Seismic Trace of Earthquake number 5,2048,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
EQcount,astsa,Earthquake Counts,107,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
EXP6,astsa,Seismic Trace of Explosion number 6,2048,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
GDP,astsa,,305,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
GGBsuicide,astsa,"Golden Gate Bridge Suicides, 1999-2009",223,2,index;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
GNP,astsa,,304,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
HCT,astsa,Hematocrit Levels,91,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
Hare,astsa,Snowshoe Hare,91,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
Lynx,astsa,Canadian Lynx,91,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
MEI,astsa,Multivariate El Nino/Southern Oscillation Index (version 1),827,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
MEI2,astsa,Multivariate El Nino/Southern Oscillation Index (version 2),557,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
PLT,astsa,Platelet Levels,91,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
USpop,astsa,U.S. Population - 1900 to 2010,12,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
USpop20,astsa,U.S. Population - 1900 to 2020,13,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
UnempRate,astsa,U.S. Unemployment Rate,827,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
UnempRate2,astsa,U.S. Unemployment Rate (update),123,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
WBC,astsa,White Blood Cell Levels,91,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
ar1miss,astsa,AR with Missing Values,100,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
arf,astsa,Simulated ARFIMA,1000,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
beamd,astsa,Infrasonic Signal from a Nuclear Explosion,2048,3,sensor1;sensor2;sensor3,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
birth,astsa,U.S. Monthly Live Births,373,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
blood,astsa,Daily Blood Work with Missing Values,91,3,WBC;PLT;HCT,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
bnrf1ebv,astsa,Nucleotide sequence - BNRF1 Epstein-Barr,3954,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
bnrf1hvs,astsa,Nucleotide sequence - BNRF1 of Herpesvirus saimiri,3741,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
cardox,astsa,Monthly Carbon Dioxide Levels at Mauna Loa,781,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
chicken,astsa,Monthly price of a pound of chicken,180,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
climhyd,astsa,Lake Shasta inflow data,454,6,Temp;DewPt;CldCvr;WndSpd;Precip;Inflow,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
cmort,astsa,Cardiovascular Mortality from the LA Pollution study,508,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
cpg,astsa,Hard Drive Cost per GB,29,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
djia,astsa,Dow Jones Industrial Average,2518,6,date;Open;High;Low;Close;Volume,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
econ5,astsa,Five Quarterly Economic Series,161,5,unemp;gnp;consum;govinv;prinv,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
eqexp,astsa,Earthquake and Explosion Seismic Series,2048,17,EQ1;EQ2;EQ3;EQ4;EQ5;EQ6;EQ7;EQ8;EX1;EX2;EX3;EX4;EX5;EX6;EX7;EX8;NZ,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
flu,astsa,"Monthly pneumonia and influenza deaths in the U.S., 1968 to 1978.",132,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
fmri1,astsa,fMRI Data Used in Chapter 1,128,9,time;cort1;cort2;cort3;cort4;thal1;thal2;cere1;cere2,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
gas,astsa,Gas Prices,545,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
gdp,astsa,Quarterly U.S. GDP,287,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
gnp,astsa,Quarterly U.S. GNP,223,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
gtemp.month,astsa,Monthly global average surface temperatures by year,12,49,2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
gtemp_both,astsa,"Global mean land and open ocean temperature deviations, 1850-2023",174,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
gtemp_land,astsa,"Global mean land temperature deviations, 1850-2023",174,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
gtemp_ocean,astsa,"Global mean ocean temperature deviations, 1850-2023",174,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
hor,astsa,Hawaiian occupancy rates,136,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
