"time","value"
1950,-1.03
1950.08333333333,-1.133
1950.16666666667,-1.283
1950.25,-1.071
1950.33333333333,-1.434
1950.41666666667,-1.412
1950.5,-1.269
1950.58333333333,-1.042
1950.66666666667,-0.631
1950.75,-0.441
1950.83333333333,-1.151
1950.91666666667,-1.235
1951,-1.049
1951.08333333333,-1.152
1951.16666666667,-1.178
1951.25,-0.511
1951.33333333333,-0.374
1951.41666666667,0.288
1951.5,0.679
1951.58333333333,0.818
1951.66666666667,0.726
1951.75,0.72
1951.83333333333,0.694
1951.91666666667,0.504
1952,0.433
1952.08333333333,0.138
1952.16666666667,0.071
1952.25,0.224
1952.33333333333,-0.307
1952.41666666667,-0.756
1952.5,-0.305
1952.58333333333,-0.374
1952.66666666667,0.31
1952.75,0.265
1952.83333333333,-0.351
1952.91666666667,-0.098
1953,0.044
1953.08333333333,0.401
1953.16666666667,0.277
1953.25,0.687
1953.33333333333,0.756
1953.41666666667,0.191
1953.5,0.382
1953.58333333333,0.209
1953.66666666667,0.483
1953.75,0.087
1953.83333333333,0.078
1953.91666666667,0.351
1954,-0.036
1954.08333333333,-0.027
1954.16666666667,0.154
1954.25,-0.616
1954.33333333333,-1.465
1954.41666666667,-1.558
1954.5,-1.355
1954.58333333333,-1.456
1954.66666666667,-1.159
1954.75,-1.335
1954.83333333333,-1.124
1954.91666666667,-1.088
1955,-0.74
1955.08333333333,-0.669
1955.16666666667,-1.117
1955.25,-1.621
1955.33333333333,-1.653
1955.41666666667,-2.247
1955.5,-1.976
1955.58333333333,-2.05
1955.66666666667,-1.829
1955.75,-1.738
1955.83333333333,-1.821
1955.91666666667,-1.846
1956,-1.408
1956.08333333333,-1.275
1956.16666666667,-1.371
1956.25,-1.216
1956.33333333333,-1.304
1956.41666666667,-1.523
1956.5,-1.244
1956.58333333333,-1.118
1956.66666666667,-1.35
1956.75,-1.478
1956.83333333333,-1.024
1956.91666666667,-0.993
1957,-0.915
1957.08333333333,-0.348
1957.16666666667,0.108
1957.25,0.383
1957.33333333333,0.813
1957.41666666667,0.73
1957.5,0.926
1957.58333333333,1.132
1957.66666666667,1.117
1957.75,1.068
1957.83333333333,1.138
1957.91666666667,1.268
1958,1.473
1958.08333333333,1.454
1958.16666666667,1.313
1958.25,0.991
1958.33333333333,0.673
1958.41666666667,0.812
1958.5,0.7
1958.58333333333,0.421
1958.66666666667,0.171
1958.75,0.203
1958.83333333333,0.476
1958.91666666667,0.691
1959,0.553
1959.08333333333,0.81
1959.16666666667,0.502
1959.25,0.202
1959.33333333333,-0.025
1959.41666666667,-0.062
1959.5,-0.112
1959.58333333333,0.111
1959.66666666667,0.092
1959.75,-0.071
1959.83333333333,-0.17
1959.91666666667,-0.247
1960,-0.287
1960.08333333333,-0.253
1960.16666666667,-0.082
1960.25,0.007
1960.33333333333,-0.322
1960.41666666667,-0.287
1960.5,-0.318
1960.58333333333,-0.25
1960.66666666667,-0.47
1960.75,-0.358
1960.83333333333,-0.33
1960.91666666667,-0.39
1961,-0.15
1961.08333333333,-0.235
1961.16666666667,-0.073
1961.25,0.017
1961.33333333333,-0.302
1961.41666666667,-0.185
1961.5,-0.208
1961.58333333333,-0.3
1961.66666666667,-0.3
1961.75,-0.536
1961.83333333333,-0.433
1961.91666666667,-0.608
1962,-1.065
1962.08333333333,-0.963
1962.16666666667,-0.692
1962.25,-1.04
1962.33333333333,-0.89
1962.41666666667,-0.87
1962.5,-0.683
1962.58333333333,-0.538
1962.66666666667,-0.56
1962.75,-0.671
1962.83333333333,-0.617
1962.91666666667,-0.482
1963,-0.718
1963.08333333333,-0.837
1963.16666666667,-0.675
1963.25,-0.761
1963.33333333333,-0.473
1963.41666666667,-0.144
1963.5,0.404
1963.58333333333,0.59
1963.66666666667,0.734
1963.75,0.805
1963.83333333333,0.837
1963.91666666667,0.765
1964,0.878
1964.08333333333,0.481
1964.16666666667,-0.256
1964.25,-0.545
1964.33333333333,-1.234
1964.41666666667,-1.15
1964.5,-1.384
1964.58333333333,-1.486
1964.66666666667,-1.309
1964.75,-1.216
1964.83333333333,-1.229
1964.91666666667,-0.907
1965,-0.536
1965.08333333333,-0.329
1965.16666666667,-0.259
1965.25,0.086
1965.33333333333,0.464
1965.41666666667,0.867
1965.5,1.367
1965.58333333333,1.425
1965.66666666667,1.379
1965.75,1.202
1965.83333333333,1.343
1965.91666666667,1.27
1966,1.307
1966.08333333333,1.186
1966.16666666667,0.689
1966.25,0.515
1966.33333333333,-0.178
1966.41666666667,-0.193
1966.5,-0.116
1966.58333333333,0.152
1966.66666666667,-0.094
1966.75,-0.05
1966.83333333333,-0.003
1966.91666666667,-0.181
1967,-0.462
1967.08333333333,-0.898
1967.16666666667,-1.05
1967.25,-1.03
1967.33333333333,-0.448
1967.41666666667,-0.236
1967.5,-0.492
1967.58333333333,-0.391
1967.66666666667,-0.627
1967.75,-0.677
1967.83333333333,-0.424
1967.91666666667,-0.357
1968,-0.602
1968.08333333333,-0.727
1968.16666666667,-0.635
1968.25,-0.944
1968.33333333333,-1.093
1968.41666666667,-0.812
1968.5,-0.503
1968.58333333333,-0.104
1968.66666666667,0.213
1968.75,0.424
