"time","value"
1850,-0.12
1851,-0.08
1852,-0.14
1853,0.04
1854,0.04
1855,0
1856,-0.05
1857,-0.27
1858,-0.09
1859,0.01
1860,0.06
1861,-0.28
1862,-0.16
1863,-0.06
1864,-0.11
1865,0.04
1866,0.12
1867,0.01
1868,0.02
1869,0.02
1870,0.07
1871,0.05
1872,-0.07
1873,-0.19
1874,-0.19
1875,-0.07
1876,-0.1
1877,0.11
1878,0.28
1879,0.07
1880,0.08
1881,0.11
1882,0.08
1883,-0.05
1884,-0.1
1885,-0.18
1886,-0.14
1887,-0.2
1888,-0.14
1889,0.13
1890,-0.23
1891,-0.12
1892,-0.12
1893,-0.21
1894,-0.26
1895,-0.2
1896,0.04
1897,0.12
1898,-0.18
1899,-0.18
1900,-0.01
1901,-0.04
1902,-0.17
1903,-0.26
1904,-0.5
1905,-0.2
1906,-0.14
1907,-0.2
1908,-0.37
1909,-0.41
1910,-0.5
1911,-0.47
1912,-0.12
1913,-0.34
1914,-0.17
1915,0.02
1916,-0.16
1917,-0.47
1918,-0.24
1919,-0.05
1920,-0.18
1921,-0.26
1922,-0.12
1923,-0.3
1924,-0.11
1925,-0.28
1926,-0.11
1927,-0.2
1928,-0.2
1929,-0.32
1930,-0.2
1931,-0.03
1932,-0.11
1933,-0.21
1934,-0.28
1935,-0.24
1936,-0.15
1937,-0.06
1938,-0.09
1939,-0.1
1940,0.17
1941,0.23
1942,0.19
1943,-0.01
1944,0.27
1945,0.16
1946,0.03
1947,-0.07
1948,-0.17
1949,-0.04
1950,-0.1
1951,-0.13
1952,0.11
1953,0.06
1954,-0.07
1955,-0.12
1956,-0.11
1957,0.03
1958,0.15
1959,0.06
1960,0.04
1961,0.1
1962,0.07
1963,0.01
1964,-0.06
1965,-0.09
1966,0.03
1967,-0.02
1968,-0.11
1969,0.25
1970,0.12
1971,-0.1
1972,0.03
1973,0.23
1974,-0.09
1975,0.02
1976,-0.06
1977,0.23
1978,0.16
1979,0.24
1980,0.37
1981,0.26
1982,0.19
1983,0.35
1984,0.25
1985,0.17
1986,0.18
1987,0.33
1988,0.44
1989,0.23
1990,0.41
1991,0.34
1992,0.31
1993,0.26
1994,0.26
1995,0.37
1996,0.33
1997,0.38
1998,0.56
1999,0.4
2000,0.34
2001,0.44
2002,0.53
2003,0.5
2004,0.5
2005,0.5
2006,0.43
2007,0.43
2008,0.33
2009,0.42
2010,0.61
2011,0.41
2012,0.37
2013,0.49
2014,0.51
2015,0.61
2016,0.83
2017,0.73
2018,0.61
2019,0.72
2020,0.81
2021,0.57
2022,0.65
2023,0.78
