"time","value"
1982,79
1982.25,65.9
1982.5,70.9
1982.75,66.7
1983,75.2
1983.25,68.1
1983.5,71.7
1983.75,66.5
1984,84
1984.25,75.6
1984.5,74.6
1984.75,75.1
1985,88.1
1985.25,69.1
1985.5,75
1985.75,72.5
1986,87
1986.25,78.8
1986.5,79.9
1986.75,76.8
1987,88
1987.25,77.1
1987.5,82.1
1987.75,77.8
1988,81.7
1988.25,75.1
1988.5,81.3
1988.75,75.1
1989,85.9
1989.25,73.9
1989.5,81
1989.75,75.7
1990,83.9
1990.25,75.5
1990.5,81
1990.75,74.3
1991,68.2
1991.25,70.7
1991.5,79.7
1991.75,72.5
1992,75.3
1992.25,68.6
1992.5,75.5
1992.75,75.2
1993,75.3
1993.25,67.9
1993.5,73.8
1993.75,72.5
1994,80.9
1994.25,72.7
1994.5,79.1
1994.75,74.8
1995,79.5
1995.25,70.3
1995.5,79.2
1995.75,75.1
1996,81.9
1996.25,72.3
1996.5,77.1
1996.75,70
1997,79.5
1997.25,70.8
1997.5,75.5
1997.75,69.9
1998,77.4
1998.25,68.7
1998.5,72.9
1998.75,67.7
1999,77
1999.25,67.7
1999.5,75
1999.75,68.7
2000,79.2
2000.25,75.2
2000.5,78.5
2000.75,73.1
2001,80.7
2001.25,70.7
2001.5,70.3
2001.75,57.2
2002,71.7
2002.25,67.9
2002.5,72.5
2002.75,67.1
2003,74.4
2003.25,67.1
2003.5,77.4
2003.75,71.3
2004,80.2
2004.25,75.7
2004.5,81.5
2004.75,73.4
2005,83.8
2005.25,78.4
2005.5,84.8
2005.75,77.2
2006,83.6
2006.25,78.2
2006.5,82.5
2006.75,74.1
2007,77.5
2007.25,72
2007.5,78.6
2007.75,72
2008,78.7
2008.25,68.8
2008.5,70.5
2008.75,63.8
2009,66.7
2009.25,63.7
2009.5,67.3
2009.75,63.5
2010,70.6
2010.25,67.3
2010.5,75.2
2010.75,69.5
2011,76.6
2011.25,68.6
2011.5,76.1
2011.75,71.9
2012,80.3
2012.25,73.8
2012.5,78.9
2012.75,74.5
2013,82
2013.25,74.2
2013.5,77.8
2013.75,72.3
2014,80.8
2014.25,74
2014.5,78.7
2014.75,74.7
2015,80
2015.25,77.9
2015.5,79.9
2015.75,78
