"date","Tmort","Rmort","Cmort","Temp","Rhumid","CO","SO2","NO2","HC","Ozone","Part"
"1970-01-01",212,10,120,64,48.6,21.33,6.83,18.5,75,5.67,84.33
"1970-01-02",243,18,137,63.6,18.8,12.67,3.17,11.67,60,3.17,62.17
"1970-01-03",209,7,110,65.2,19.2,15.17,3,9.33,45,3.33,73.5
"1970-01-04",217,13,120,60.2,48,14.5,3.5,11.83,55,3.67,64.33
"1970-01-05",220,11,128,64,36.6,15.83,2.33,10.83,40,3.83,72.67
"1970-01-06",174,10,102,68.2,15,14.67,9.17,7.67,35,2.83,60.67
"1970-01-07",200,10,105,70.4,19.4,17.17,4.5,8.83,50,2.33,66
"1970-01-08",204,14,101,65.8,28.8,21,6.17,19.83,60,3.17,88.5
"1970-01-09",220,15,110,63,43.4,16.5,3.83,12.5,45,1.83,64.17
"1970-01-10",190,19,104,63.8,80.8,10.33,2,6.5,35,3.17,45.83
"1970-01-11",200,10,97,57.2,88.8,9,1.83,5.17,30,1.5,39
"1970-01-12",200,13,111,63.8,84.6,8.5,3,7.33,30,2.5,35.17
"1970-01-13",219,11,120,62.6,79,12.5,2.83,6.83,40,2,48.17
"1970-01-14",214,14,111,58.4,91,11.5,2.33,5.17,45,1,42.5
"1970-01-15",176,13,100,62.6,83.4,8.83,1.67,7,45,2.33,44.17
"1970-01-16",205,17,122,58.8,94.8,11.83,2,3.83,40,1.17,40.5
"1970-01-17",205,16,110,65.2,75.4,7,2.5,4.67,30,2.83,29.5
"1970-01-18",206,10,103,63.2,79,8.83,2.83,6.33,50,2.5,39.17
"1970-01-19",205,6,123,62.6,83.6,11.33,4.5,11,65,5.33,55.17
"1970-01-20",162,11,87,64.6,82,20.33,3.67,13.5,60,5.33,69
"1970-01-21",177,10,91,61.8,89.2,21.5,6,25.67,85,6.67,104.33
"1970-01-22",185,10,112,62.2,87,22,7.33,27.33,75,5.5,93
"1970-01-23",197,12,103,66.2,81.8,23.17,7.67,28.33,90,8,94.17
"1970-01-24",191,8,102,60.2,87.6,10.67,4,11.17,55,2.5,50.33
"1970-01-25",185,9,90,64.8,76,11.17,4.33,11,45,4.83,47.17
"1970-01-26",185,8,111,65,78.8,17.5,4.67,19.83,65,8.5,70.33
"1970-01-27",180,13,105,60.4,82.8,13.33,3.83,12.67,60,4,63.17
"1970-01-28",192,4,106,71.6,43.6,9.83,5.17,8.83,45,4.83,56.17
"1970-01-29",163,14,90,71.2,18.8,13.83,6.17,7.33,40,3.17,50.83
"1970-01-30",182,16,91,66.8,39.4,15,3,11.67,40,4.83,66.17
"1970-01-31",192,11,92,70,36.8,11.83,3.17,8.17,45,4.67,47.33
"1970-02-01",168,11,79,67.8,53,11.83,2.5,9.17,45,5.17,46.33
"1970-02-02",179,11,106,70.6,22.6,14.5,2.67,8.5,55,4.83,51.6
"1970-02-03",194,10,106,75.2,33,20.5,5.83,13.83,60,6.5,107
"1970-02-04",203,9,102,65.4,56.4,18.17,3.67,15.17,75,4.67,98
"1970-02-05",178,6,111,66,70,16.17,2.5,13.67,55,9,74
"1970-02-06",189,13,105,75.2,54.6,24,5.5,24,75,13.83,101
"1970-02-07",191,14,106,83.6,38.2,24.67,6.83,24.5,70,15.5,94
"1970-02-08",189,12,96,82.2,38.4,21.83,8,20.17,55,6,87
