id,dataset,p,q,P,Q,s,ar,ma,sar,sma,r_loglik,py_loglik
1,ar1_shared,1,0,0,0,0,[0.3],[],[],[],-152.697611453641,-152.69761145364052
2,ar1_shared,1,0,0,0,0,[0.5],[],[],[],-143.817451531564,-143.81745153156382
3,ar1_shared,1,0,0,0,0,[0.7],[],[],[],-141.031030761385,-141.03103076138504
4,ar1_shared,1,0,0,0,0,[-0.3],[],[],[],-191.871145222951,-191.87114522295067
5,ar1_shared,1,0,0,0,0,[-0.5],[],[],[],-204.585342175972,-204.5853421759724
6,ar1_shared,2,0,0,0,0,"[0.5, 0.1]",[],[],[],-142.211905336794,-142.2119053367943
7,ar1_shared,2,0,0,0,0,"[0.3, 0.3]",[],[],[],-146.859275226898,-146.85927522689795
8,ar1_shared,2,0,0,0,0,"[0.6, -0.2]",[],[],[],-147.470290842005,-147.47029084200474
9,ar1_shared,2,0,0,0,0,"[-0.4, 0.3]",[],[],[],-186.755391149715,-186.75539114971482
10,ar1_shared,2,0,0,0,0,"[0.2, 0.5]",[],[],[],-152.174453024334,-152.1744530243335
11,ar1_shared,3,0,0,0,0,"[0.5, -0.2, 0.1]",[],[],[],-149.429243501147,-149.4292435011469
12,ar1_shared,3,0,0,0,0,"[0.3, 0.2, -0.3]",[],[],[],-154.717106894439,-154.71710689443907
13,ar1_shared,3,0,0,0,0,"[0.6, -0.1, -0.2]",[],[],[],-149.459470851909,-149.45947085190906
14,ar1_shared,0,1,0,0,0,[],[0.2],[],[],-160.239941546967,-160.2399415487617
15,ar1_shared,0,1,0,0,0,[],[0.4],[],[],-153.24683831007,-153.2468383119139
16,ar1_shared,0,1,0,0,0,[],[0.6],[],[],-152.48076973867,-152.48076973421448
17,ar1_shared,0,1,0,0,0,[],[-0.3],[],[],-197.064387508324,-197.06438750764943
18,ar1_shared,0,1,0,0,0,[],[-0.5],[],[],-221.510925194261,-221.5109251863897
19,ar1_shared,0,2,0,0,0,[],"[0.4, 0.2]",[],[],-147.814626796258,-147.8146267967155
20,ar1_shared,0,2,0,0,0,[],"[0.3, -0.3]",[],[],-170.898325242632,-170.89832524344175
21,ar1_shared,0,2,0,0,0,[],"[-0.4, 0.2]",[],[],-194.09431906818,-194.09431907303352
22,ar1_shared,0,2,0,0,0,[],"[0.5, -0.1]",[],[],-156.314817078542,-156.31481707687647
23,ar1_shared,0,3,0,0,0,[],"[0.4, 0.2, -0.1]",[],[],-149.765916091393,-149.7659160952457
24,ar1_shared,0,3,0,0,0,[],"[0.3, -0.2, 0.2]",[],[],-164.360687006061,-164.36068700727483
25,ar1_shared,0,3,0,0,0,[],"[-0.3, 0.2, 0.1]",[],[],-184.096981711288,-184.09698171113723
26,ar1_shared,1,1,0,0,0,[0.3],[0.2],[],[],-146.702809893417,-146.70280989358133
27,ar1_shared,1,1,0,0,0,[0.5],[0.4],[],[],-147.437682911268,-147.4376829090952
28,ar1_shared,1,1,0,0,0,[0.7],[0.6],[],[],-167.963381898836,-167.96338188295977
29,ar1_shared,1,1,0,0,0,[-0.3],[-0.3],[],[],-219.899968004671,-219.89996800221832
30,ar1_shared,1,1,0,0,0,[-0.5],[-0.5],[],[],-259.43270533234,-259.43270532713177
31,ar1_shared,2,1,0,0,0,"[0.5, 0.1]",[0.2],[],[],-141.22624513027,-141.2262451302951
32,ar1_shared,2,1,0,0,0,"[0.3, 0.3]",[0.4],[],[],-141.005756801372,-141.0057568010333
33,ar1_shared,2,1,0,0,0,"[0.6, -0.2]",[0.6],[],[],-170.986609632879,-170.98660961070794
34,ar1_shared,2,1,0,0,0,"[-0.4, 0.3]",[-0.3],[],[],-212.348508996221,-212.3485089901882
35,ar1_shared,2,1,0,0,0,"[0.2, 0.5]",[-0.5],[],[],-176.214874024854,-176.21487402153613
36,ar1_shared,1,2,0,0,0,[0.3],"[0.4, 0.2]",[],[],-142.408852585672,-142.40885258526257
37,ar1_shared,1,2,0,0,0,[0.5],"[0.3, -0.3]",[],[],-156.951149940203,-156.95114992538336
38,ar1_shared,1,2,0,0,0,[0.7],"[-0.4, 0.2]",[],[],-147.903287301995,-147.9032873024266
39,ar1_shared,1,2,0,0,0,[-0.3],"[0.5, -0.1]",[],[],-166.433614638822,-166.43361464253798
40,ar1_shared,2,2,0,0,0,"[0.5, 0.1]","[0.4, 0.2]",[],[],-143.706062521669,-143.70606251958156
41,ar1_shared,2,2,0,0,0,"[0.3, 0.3]","[0.3, -0.3]",[],[],-145.714871395944,-145.71487138811077
42,ar1_shared,2,2,0,0,0,"[0.6, -0.2]","[-0.4, 0.2]",[],[],-155.846145806918,-155.84614580799075
43,ar1_shared,2,2,0,0,0,"[-0.4, 0.3]","[0.5, -0.1]",[],[],-160.023731558517,-160.02373156678334
44,ar2_shared,1,0,0,0,0,[0.3],[],[],[],-151.676767212854,-151.67676721285432
45,ar2_shared,1,0,0,0,0,[0.5],[],[],[],-145.557356971128,-145.55735697112763
46,ar2_shared,1,0,0,0,0,[0.7],[],[],[],-145.04120629073,-145.04120629073037
47,ar2_shared,1,0,0,0,0,[-0.3],[],[],[],-185.769417285079,-185.76941728507927
48,ar2_shared,1,0,0,0,0,[-0.5],[],[],[],-197.833917950342,-197.83391795034163
49,ar2_shared,2,0,0,0,0,"[0.5, 0.1]",[],[],[],-143.256444123374,-143.2564441233744
50,ar2_shared,2,0,0,0,0,"[0.3, 0.3]",[],[],[],-144.446666737697,-144.44666673769729
51,ar2_shared,2,0,0,0,0,"[0.6, -0.2]",[],[],[],-151.289096029374,-151.28909602937387
52,ar2_shared,2,0,0,0,0,"[-0.4, 0.3]",[],[],[],-180.733212633569,-180.73321263356888
53,ar2_shared,2,0,0,0,0,"[0.2, 0.5]",[],[],[],-147.739610054682,-147.7396100546822
54,ar2_shared,3,0,0,0,0,"[0.5, -0.2, 0.1]",[],[],[],-151.433766978094,-151.43376697809387
55,ar2_shared,3,0,0,0,0,"[0.3, 0.2, -0.3]",[],[],[],-155.032163208718,-155.0321632087179
56,ar2_shared,3,0,0,0,0,"[0.6, -0.1, -0.2]",[],[],[],-153.1289518969,-153.12895189689985
57,ar2_shared,0,1,0,0,0,[],[0.2],[],[],-157.927742784934,-157.9277427859475
58,ar2_shared,0,1,0,0,0,[],[0.4],[],[],-153.566355685933,-153.56635568748132
59,ar2_shared,0,1,0,0,0,[],[0.6],[],[],-155.377594076126,-155.3775940737853
60,ar2_shared,0,1,0,0,0,[],[-0.3],[],[],-190.953717748193,-190.9537177472616
61,ar2_shared,0,1,0,0,0,[],[-0.5],[],[],-214.900467912377,-214.90046790516402
62,ar2_shared,0,2,0,0,0,[],"[0.4, 0.2]",[],[],-148.4706972436,-148.47069724448596
63,ar2_shared,0,2,0,0,0,[],"[0.3, -0.3]",[],[],-168.277812355339,-168.27781235932554
64,ar2_shared,0,2,0,0,0,[],"[-0.4, 0.2]",[],[],-187.140452276353,-187.14045228110112
65,ar2_shared,0,2,0,0,0,[],"[0.5, -0.1]",[],[],-157.137738044847,-157.13773804388222
66,ar2_shared,0,3,0,0,0,[],"[0.4, 0.2, -0.1]",[],[],-150.771152286174,-150.77115228858924
67,ar2_shared,0,3,0,0,0,[],"[0.3, -0.2, 0.2]",[],[],-160.440066670705,-160.44006667717525
68,ar2_shared,0,3,0,0,0,[],"[-0.3, 0.2, 0.1]",[],[],-176.413545108454,-176.41354510854364
69,ar2_shared,1,1,0,0,0,[0.3],[0.2],[],[],-148.719341886563,-148.719341886635
70,ar2_shared,1,1,0,0,0,[0.5],[0.4],[],[],-155.654723888532,-155.6547238867168
71,ar2_shared,1,1,0,0,0,[0.7],[0.6],[],[],-178.589439427794,-178.58943941848386
72,ar2_shared,1,1,0,0,0,[-0.3],[-0.3],[],[],-212.850788681376,-212.85078867764292
73,ar2_shared,1,1,0,0,0,[-0.5],[-0.5],[],[],-252.093754349113,-252.09375434428534
74,ar2_shared,2,1,0,0,0,"[0.5, 0.1]",[0.2],[],[],-145.606031607181,-145.60603160690323
75,ar2_shared,2,1,0,0,0,"[0.3, 0.3]",[0.4],[],[],-144.857809498164,-144.85780949763316
76,ar2_shared,2,1,0,0,0,"[0.6, -0.2]",[0.6],[],[],-181.266596056255,-181.2665960433041
77,ar2_shared,2,1,0,0,0,"[-0.4, 0.3]",[-0.3],[],[],-205.238585343557,-205.23858533384796
78,ar2_shared,2,1,0,0,0,"[0.2, 0.5]",[-0.5],[],[],-169.035156564173,-169.0351565612149
79,ar2_shared,1,2,0,0,0,[0.3],"[0.4, 0.2]",[],[],-147.644499089293,-147.64449908906127
80,ar2_shared,1,2,0,0,0,[0.5],"[0.3, -0.3]",[],[],-160.942085791698,-160.94208578629392
81,ar2_shared,1,2,0,0,0,[0.7],"[-0.4, 0.2]",[],[],-144.490860125338,-144.490860126337
82,ar2_shared,1,2,0,0,0,[-0.3],"[0.5, -0.1]",[],[],-163.389064644637,-163.38906464843163
83,ar2_shared,2,2,0,0,0,"[0.5, 0.1]","[0.4, 0.2]",[],[],-150.662266253986,-150.66226625250647
84,ar2_shared,2,2,0,0,0,"[0.3, 0.3]","[0.3, -0.3]",[],[],-147.156223188008,-147.1562231857704
85,ar2_shared,2,2,0,0,0,"[0.6, -0.2]","[-0.4, 0.2]",[],[],-153.624840697255,-153.62484069846505
86,ar2_shared,2,2,0,0,0,"[-0.4, 0.3]","[0.5, -0.1]",[],[],-157.228982848479,-157.2289828556735
87,ma1_shared,1,0,0,0,0,[0.3],[],[],[],-130.698823749796,-130.69882374979608
88,ma1_shared,1,0,0,0,0,[0.5],[],[],[],-129.384159450994,-129.38415945099408
89,ma1_shared,1,0,0,0,0,[0.7],[],[],[],-132.983127895425,-132.98312789542518
90,ma1_shared,1,0,0,0,0,[-0.3],[],[],[],-156.090843935247,-156.0908439352466
91,ma1_shared,1,0,0,0,0,[-0.5],[],[],[],-167.29353960728,-167.2935396072795
